English,Hindi,Assamese,Bengali,Gujarati,Kannada,Malayalam,Marathi,Odiya,Punjabi,Tamil,Telugu 
pencil rounded,कर्णिका (आकार),পেঞ্চিল ঘূৰণীয়া,পেন্সিল গোলাকার,પેન્સિલ ગોળાકાર,ಪೆನ್ಸಿಲ್ ದುಂಡಾದ,വൃത്താകൃതിയിലുള്ള പെൻസിൽ,पेन्सिल गोलाकार,ପେନ୍ସିଲ୍ ଗୋଲାକାର |,ਪੈਨਸਿਲ ਗੋਲ,பென்சில் வட்டமானது,పెన్సిల్ గుండ్రంగా
pencil sketch,"वर्तिका आरेख, पेंसिल रेखाचित्र",পেঞ্চিল স্কেচ,পেন্সিল স্কেচ,પેન્સિલ સ્કેચ,ಪೆನ್ಸಿಲ್ ಸ್ಕೆಚ್,പെൻസിൽ സ്കെച്ച്,पेन्सिल स्केच,ପେନ୍ସିଲ୍ ସ୍କଚ୍ |,ਪੈਨਸਿਲ ਸਕੈਚ,பென்சில் ஓவியம்,పెన్సిల్ స్కెచ్
pendant (=pendent),"लटकन, लंबक, लुंबी",লকেট (=লম্বিত),দুল (= দুল),પેન્ડન્ટ (=પેન્ડન્ટ),ಪೆಂಡೆಂಟ್ (=ಪೆಂಡೆಂಟ್),പെൻഡന്റ് (=പെൻഡന്റ്),लटकन (= लटकन),ପେଣ୍ଡେଣ୍ଟ (= ପେଣ୍ଡେଣ୍ଟ),ਪੈਂਡੈਂਟ (=ਲਟਕਿਆ ਹੋਇਆ),தொங்கல் (=தாக்குதல்),లాకెట్టు (=పెండెంట్)
pendant chain,लटकन लड़ी,লকেট শৃংখল,দুল চেইন,પેન્ડન્ટ સાંકળ,ಪೆಂಡೆಂಟ್ ಚೈನ್,പെൻഡന്റ് ചെയിൻ,लटकन साखळी,ପେଣ୍ଡାଲ୍ ଶୃଙ୍ଖଳା |,ਪੈਂਡੈਂਟ ਚੇਨ,பதக்க சங்கிலி,లాకెట్టు గొలుసు
pendentive,चापांतर त्रिभुज,পেণ্ডেন্টিভ,পেন্ডেন্টিভ,પેન્ડન્ટિવ,ಬಾಕಿಯಿರುವ,കെട്ടിക്കിടക്കുന്ന,लटकन,ପେଣ୍ଡେଣ୍ଟିଭ୍ |,ਲੰਬਿਤ,நிலுவையில் உள்ளது,పెండెంట్
penetralia,अंतर्देवालय,পেনেট্ৰেলিয়া,পেনিট্রালিয়া,પેનિટ્રાલિયા,ಪೆನೆಟ್ರಾಲಿಯಾ,പെനെട്രാലിയ,penetralia,ଅନୁପ୍ରବେଶ,penetralia,ஊடுருவல்,పెనెట్రాలియా
peninsula,प्रायद्वीप,উপদ্বীপ,উপদ্বীপ,દ્વીપકલ્પ,ಪರ್ಯಾಯ ದ್ವೀಪ,ഉപദ്വീപ്,द्वीपकल्प,ଉପଦ୍ୱୀପ,ਪ੍ਰਾਇਦੀਪ,தீபகற்பம்,ద్వీపకల్పం
peninsular campaign,प्रायद्वीपीय अभियान,উপদ্বীপীয় অভিযান,উপদ্বীপের প্রচারণা,દ્વીપકલ્પ અભિયાન,ಪರ್ಯಾಯದ್ವೀಪದ ಅಭಿಯಾನ,ഉപദ്വീപ് പ്രചാരണം,द्वीपकल्प मोहीम,ଉପଦ୍ୱୀପ ଅଭିଯାନ |,ਪ੍ਰਾਇਦੀਪ ਦੀ ਮੁਹਿੰਮ,தீபகற்ப பிரச்சாரம்,ద్వీపకల్ప ప్రచారం
Peninsular war,प्रायद्वीपीय युद्ध,উপদ্বীপীয় যুদ্ধ,উপদ্বীপ যুদ্ধ,દ્વીપકલ્પ યુદ્ધ,ಪೆನಿನ್ಸುಲರ್ ಯುದ್ಧ,പെനിൻസുലർ യുദ്ധം,द्वीपकल्पीय युद्ध,ଉପଦ୍ୱୀପ ଯୁଦ୍ଧ |,ਪ੍ਰਾਇਦੀਪ ਯੁੱਧ,தீபகற்ப போர்,ద్వీపకల్ప యుద్ధం
pennant,पताका,পেনেন্ট,পেন্যান্ট,પેનન્ટ,ಪೆನಂಟ್,പെനന്റ്,पेनंट,ପେନ୍ନାଣ୍ଟ |,ਪੈਨੈਂਟ,பென்னண்ட்,పెన్నెంట్
pension,निवृत्‍तिवेतन,পেঞ্চন,পেনশন,પેન્શન,ಪಿಂಚಣಿ,പെൻഷൻ,पेन्शन,ପେନ୍ସନ୍,ਪੈਨਸ਼ਨ,ஓய்வூதியம்,పెన్షన్
pent house,"चिलेकोठा, सायबान, ड्योढी ओसारा",পেন্ট হাউচ,পেন্ট হাউস,પેન્ટ હાઉસ,ಪೆಂಟ್ ಹೌಸ್,പെന്റ് ഹൗസ്,मंडप घर,ପେଣ୍ଟ ହାଉସ୍ |,ਪੈਂਟ ਹਾਊਸ,பென்ட் வீடு,పెంట్ హౌస్
pent roof,एकप्रवण छत,pent ছাদ,পেন্ট ছাদ,પેન્ટ છત,ಪೆಂಟ್ ಛಾವಣಿ,പെന്റ് മേൽക്കൂര,मळलेले छप्पर,ପେଣ୍ଟ ଛାତ,ਪੈਂਟ ਛੱਤ,பென்ட் கூரை,పెంట్ పైకప్పు
penta-style,पंचस्तंभी,পেন্টা-শৈলী,পেন্টা-স্টাইল,પેન્ટા-શૈલી,ಪೆಂಟಾ-ಶೈಲಿ,പെന്റ ശൈലി,पेंटा शैली,ପେଣ୍ଟା-ଶ style ଳୀ,ਪੈਂਟਾ-ਸ਼ੈਲੀ,பெண்டா பாணி,పెంటా-శైలి
pentacle,पंचकोण तारा,পেন্টাকেল,পেন্টাকেল,પેન્ટાકલ,ಪೆಂಟಕಲ್,പെന്റക്കിൾ,पेंटॅकल,ପେଣ୍ଟାକଲ୍ |,ਪੇਂਟਕਲ,பெண்டாக்கிள்,పెంటకిల్
People's Charter (=National Charter),"लोक माँग पत्र, पीपुल्स चार्टर",জনসাধাৰণৰ চনদ (=ৰাষ্ট্ৰীয় চনদ),জনগণের সনদ (=জাতীয় সনদ),પીપલ્સ ચાર્ટર (=રાષ્ટ્રીય ચાર્ટર),ಜನರ ಸನ್ನದು (=ರಾಷ್ಟ್ರೀಯ ಚಾರ್ಟರ್),പീപ്പിൾസ് ചാർട്ടർ (=ദേശീയ ചാർട്ടർ),लोकांची सनद (=राष्ट्रीय सनद),ପିପୁଲ୍ସ ଚାର୍ଟର୍ (= ଜାତୀୟ ଚାର୍ଟର୍),ਲੋਕ ਚਾਰਟਰ (=ਰਾਸ਼ਟਰੀ ਚਾਰਟਰ),மக்கள் சாசனம் (=தேசிய சாசனம்),పీపుల్స్ చార్టర్ (=నేషనల్ చార్టర్)
People's front (=popular front),जन मोर्चा,জনসাধাৰণৰ ফ্ৰণ্ট (=জনপ্ৰিয় ফ্ৰণ্ট),পিপলস ফ্রন্ট (=জনপ্রিয় ফ্রন্ট),લોકોનો મોરચો (=લોકપ્રિય મોરચો),ಪೀಪಲ್ಸ್ ಫ್ರಂಟ್ (=ಜನಪ್ರಿಯ ಮುಂಭಾಗ),ജനകീയ മുന്നണി (=പോപ്പുലർ ഫ്രണ്ട്),लोकांचा मोर्चा (=लोकप्रिय आघाडी),ଲୋକଙ୍କ ଆଗ (= ଲୋକପ୍ରିୟ ସାମ୍ନା),ਲੋਕਾਂ ਦਾ ਮੋਰਚਾ (= ਪ੍ਰਸਿੱਧ ਫਰੰਟ),மக்கள் முன்னணி (=பாப்புலர் ஃப்ரண்ட்),పీపుల్స్ ఫ్రంట్ (=పాపులర్ ఫ్రంట్)
perceptual knowledge,"इंद्रियजनित ज्ञान, प्रत्‍यक्ष ज्ञान",ধাৰণাৰ জ্ঞান,ইন্দ্রিয়গ্রাহ্য জ্ঞান,અનુભૂતિ જ્ઞાન,ಗ್ರಹಿಕೆಯ ಜ್ಞಾನ,ഇന്ദ്രിയജ്ഞാനം,ज्ञानेंद्रिय ज्ञान,ଅନୁଭବ ଜ୍ଞାନ,ਅਨੁਭਵੀ ਗਿਆਨ,புலனுணர்வு அறிவு,గ్రహణ జ్ఞానం
perclose (=parclose),"बाड़ा, वाटक",perclose (=পাৰ্কলোজ),পারক্লোজ (=পার্ক্লোজ),પરક્લોઝ (=પાર્કલોઝ),ಪರ್ಕ್ಲೋಸ್ (=ಪಾರ್ಕ್ಲೋಸ್),പെർക്ലോസ് (=പാർക്ലോസ്),perclose (=पार्क्लोज),perclose (= ପାର୍କ୍ଲୋଜ୍),perclose (=parclose),பெர்க்ளோஸ் (=பார்க்ளோஸ்),perclose (=parclose)
percussion,"आघात, आहनन",percussion,পারকাশন,પર્ક્યુસન,ತಾಳವಾದ್ಯ,താളവാദ്യം,पर्क्यूशन,ଆଘାତ,ਪਰਕਸ਼ਨ,தாள வாத்தியம்,పెర్కషన్
percussion flaked,आघात शल्कित,percussion flaked,পর্কশন flaked,પર્ક્યુસન flaked,ತಾಳವಾದ್ಯ ಫ್ಲೇಕ್ಡ್,താളവാദ്യങ്ങൾ അടർന്നു,पर्क्यूशन flaked,ଆଘାତ,ਪਰਕਸ਼ਨ flaked,தாள வாத்தியம் செதில்களாக,పెర్కషన్ రేకులు
percussion flaking,आघात शकन,পাৰ্কাচন ফ্লেকিং,পর্কশন flaking,પર્ક્યુસન flaking,ತಾಳವಾದ್ಯ ಫ್ಲೇಕಿಂಗ್,താളവാദ്യങ്ങൾ അടരുന്നു,पर्क्यूशन flaking,ପର୍କ୍ସିସନ୍ ଫ୍ଲେକିଂ |,ਪਰਕਸ਼ਨ flaking,தாள உதிர்தல்,పెర్కషన్ ఫ్లేకింగ్
percussion instrument,"आघात वाद्य, तालवाद्य",পাৰ্কাচন বাদ্যযন্ত্ৰ,পারকাশন যন্ত্র,પર્ક્યુસન સાધન,ತಾಳವಾದ್ಯ,താളവാദ്യം,पर्क्यूशन वाद्य,ବାଦ୍ୟଯନ୍ତ୍ର,ਪਰਕਸ਼ਨ ਯੰਤਰ,தாள வாத்தியம்,పెర్కషన్ వాయిద్యం
percussion method,आघात रीति,পাৰ্কাচন পদ্ধতি,পারকাশন পদ্ধতি,પર્ક્યુસન પદ્ધતિ,ತಾಳವಾದ್ಯ ವಿಧಾನ,താളവാദ്യ രീതി,पर्क्यूशन पद्धत,ପର୍କ୍ସିସନ୍ ପଦ୍ଧତି |,ਪਰਕਸ਼ਨ ਢੰਗ,தாள முறை,పెర్కషన్ పద్ధతి
percussion technique,"आघात तकनीक, आघात प्रविधि",পাৰ্কাচন কৌশল,পারকাশন কৌশল,પર્ક્યુસન તકનીક,ತಾಳವಾದ್ಯ ತಂತ್ರ,താളവാദ്യ സാങ്കേതികത,पर्क्यूशन तंत्र,ଆଘାତ କ techni ଶଳ |,ਪਰਕਸ਼ਨ ਤਕਨੀਕ,தாள நுட்பம்,పెర్కషన్ టెక్నిక్
percuteur,प्रस्तर हथौड़ा,percuteur,percuteur,પરક્યુટ્યુર,ಪರ್ಕ್ಯೂಟರ್,percuteur,percuteur,percuteur,percuteur,பெர்க்யூட்டர்,పెర్క్యూటర్
perfidy,विश्‍वासघात,perfidy,মিথ্যা,વિશ્વાસઘાત,ದ್ರೋಹ,വഞ്ചന,खोटेपणा,ସୁଗନ୍ଧିତ,ਬੇਵਫ਼ਾਈ,துரோகம்,నమ్మకద్రోహం
perforated adze,छेददार वसूला,ছিদ্ৰযুক্ত adze,ছিদ্রযুক্ত adze,છિદ્રિત adze,ರಂದ್ರ ಅಡ್ಜ್,സുഷിരങ്ങളുള്ള adze,छिद्रित adze,perforated adze,perforated adze,துளையிடப்பட்ட adze,చిల్లులు గల adze
perforated floor,"छिद्र‍ित फर्श, सछिद्र फर्श",ছিদ্ৰযুক্ত মজিয়া,ছিদ্রযুক্ত মেঝে,છિદ્રિત ફ્લોર,ರಂದ್ರ ನೆಲ,സുഷിരങ്ങളുള്ള തറ,छिद्रित मजला,ଛାତ,perforated ਮੰਜ਼ਿਲ,துளையிடப்பட்ட தரை,చిల్లులు నేల
perforated stone,छिदि्रत प्रस्तर,ছিদ্ৰযুক্ত শিল,ছিদ্রযুক্ত পাথর,છિદ્રિત પથ્થર,ರಂದ್ರ ಕಲ್ಲು,സുഷിരങ്ങളുള്ള കല്ല്,छिद्रित दगड,ଛିଦ୍ର ହୋଇଥିବା ପଥର |,perforated ਪੱਥਰ,துளையிடப்பட்ட கல்,చిల్లులు గల రాయి
pergola,"लतामंडप, लतागृह",pergola,পারগোলা,પેર્ગોલા,ಪೆರ್ಗೊಲಾ,പെർഗോള,पेर्गोला,pergola,ਪਰਗੋਲਾ,பெர்கோலா,పెర్గోలా
periapt,"रक्षाकवच, तावीज, तईत",পেৰিয়াপ্ট,periapt,periapt,ಪೆರಿಯಪ್ಟ್,പെരിയാപ്റ്റ്,periapt,periapt,periapt,பெரியாப்ட்,పెరియాప్ట్
peribolos,"सीमाभित्ति, अहाता",পেৰিব&#39;ল&#39;ছ,peribolos,પેરીબોલોસ,ಪೆರಿಬೋಲೋಸ್,പെരിബോലോസ്,पेरिबोलोस,ପେରିବୋଲୋସ୍ |,peribolos,பெரிபோலோஸ்,పెరిబోలోస్
