English,Assamese
objective function,বস্তুনিষ্ঠ কাৰ্য্য
oblique,"তিৰ্যক, তিৰ্যক"
oblique asymptote,তিৰ্যক asymptote
oblique axis,তিৰ্যক অক্ষ
oblique section,"ক্ৰছ ছেকচন, ক্ৰছ ছেকচন"
observation,পৰ্যবেক্ষণ
observed frequency,পৰ্যবেক্ষণ কৰা কম্পাঙ্ক
obtuse angle,অস্পষ্ট কোণ
octagon,অষ্টভুজ
octahedron,অষ্টভুজ
octal system,অক্টল ব্যৱস্থা
octant,অক্টেন্ট
odd,অস্বাভাৱিক
odd curve,অসমতাপূৰ্ণ বক্ৰ
odd number,অদ্ভুত সংখ্যা
odd permutation,অদ্ভুত ক্ৰমবিন্যাস
odd polynomial,অদ্ভুত বহুপদ
ogive,"ogive, পাইলন"
one to one correspondence,একাকী সংগঠন
one to one function,এক-এটা কাৰ্য্য
one to one map,একক মানচিত্ৰ
one-way classification,একমুখী শ্ৰেণীবিভাজন
onto map,ওভাৰলেপ মানচিত্ৰ
open,"খোলা, খোলা (v.)"
open ball,মুকলি গোলক
open interval,মুকলি ব্যৱধান
open ray,মুকলি অৰ্ধৰেখা
open set,খোলা ছেট
operation,অপাৰেটিং
operational research,অপাৰেচন বিজ্ঞান
operations research,অপাৰেচন বিজ্ঞান
operator,"অপাৰেটৰ, অপাৰেটৰ, অপাৰেটৰ"
opposite angle,বিপৰীত কোণ
opposite event,বিপৰীত পৰিঘটনা
optimal basic feasible solution,অনুকূল ভিত্তি সামঞ্জস্যপূৰ্ণ সমাধান
optimal condition,অনুকূল অৱস্থা
optimal lot size,অনুকূল আউটপুট আকাৰ
optimal value,অনুকূল মূল্য
optimum,"অনুকূল, অনুকূল"
orbit,শ্ৰেণী
order,"ক্ৰম, ক্ৰম, শক্তি, মূলক, গোট সংখ্যা"
ordered pair,অৰ্ডাৰ দিয়া জোৰা
ordered set,"সজাই থোৱা ছেট, সজাই থোৱা ছেট"
ordering,"সজাই পৰাই তোলা, সজাই পৰাই তোলা"
order of a determinant,"নিৰ্ণায়কৰ ক্ৰম, নিৰ্ণায়কৰ ক্ৰম"
order of a group,গ্ৰুপ গ্ৰেড
order of a matrix,মেট্ৰিক্সৰ ক্ৰম
order of an element in a group,মৌলৰ গোট
order of differential equation,অৱভেদ্য সমীকৰণৰ ক্ৰম
order of operation,অপাৰেচন ক্ৰম
order of zero,শূন্য ক্ৰম
ordinal number,সাধাৰণ সংখ্যা
ordinary differential equation,সৰল অৱভেদ্য সমীকৰণ
ordinate,শ্ৰেণী
oreintability,অভিযোজন ক্ষমতা
orientation,অভিবিন্যাস
orientation of surface,পৃষ্ঠা অভিমুখীতা
origin,"উৎপত্তি, উৎপত্তি, উৎপত্তি"
origin of coordinates,উৎপত্তিৰ বিন্দু
orthocentre,মেৰ পোৱালিৰ কেন্দ্ৰ
orthogonal,"উলম্ব কৌণিক, লম্ব"
orthogonal axes,অৰ্থগনেল অক্ষ
orthogonal family,লেম্বিক পৰিয়াল
orthogonal group,"লুম্বিক গ্ৰুপ, লুম্বিক গ্ৰুপ"
orthogonality condition,অৰ্থগনেলিটি অৱস্থা
orthogonalization,সংগঠন
orthogonal matrix,অৰ্থগনেল মেট্ৰিক্স
orthonormal,"অৰ্থনৰ্মেল, স্বাভাৱিক অৰ্থনৰ্মেল"
orthonormal basis,সাধাৰণ উলম্ব ভিত্তি
oscillation,দোলন
oscillation of a function,কাৰ্য্যৰ দোলন
oscillatory function,দোলনীয় কাৰ্য্য
osculating,আসলেশি
outer product,বাহ্যিক উৎপাদন
output,"আউটপুট, আউটপুট, আউটপুট, আউটফ্ল&#39;"
overdetermined system,অতি নিৰ্ধাৰিত সত্তা
paired comparision,যোৰযুক্ত তুলনা
pairwise disjoint,সংযুক্ত বিচ্ছিন্ন
pairwise independent,দম্পতী স্বাধীন
parallel forces,সমান্তৰাল বল
parallelogram,সমান্তৰাল চতুৰ্ভুজ
parallelogram of forces,বল সমান্তৰাল চতুৰ্ভুজ
parallelogram of velocities,বেগ সমান্তৰাল
parallelopiped,সমান্তৰাল চতুৰ্ভুজ
parameter,"প্ৰাচল, আন্তঃবিচ্ছেদ অনুপাত, প্ৰাচল"
parameter free (=nonparametric),অমান্য
parameter of distribution,বিতৰণ প্ৰাচল
parametric,প্ৰাচল
parametric coordinate,প্ৰাচল স্থানাংক
parametric curve,পেৰামেট্ৰিক বক্ৰ
parametric equation,পেৰামেট্ৰিক সমীকৰণ
parametric linear programming,পেৰামেট্ৰিক ৰৈখিক প্ৰগ্ৰেমিং
parametric method,প্ৰাচল পদ্ধতি
parametric objective function,পেৰামেট্ৰিক উদ্দেশ্যমূলক ফলন
parametric programming,প্ৰাচল প্ৰগ্ৰেমিং
parametric representation,প্ৰাচল উপস্থাপন
parametrization,পেৰামিটাৰাইজেচন
parenthesis,"বন্ধনী, বান্ধনি"
parenthesis notation,বন্ধনী
parent population,অভিভাৱক জনসংখ্যা
Pareto curve,pareto-বক্ৰ
parity check,সমতা পৰীক্ষা
partial confounding,আংশিক সংকৰকৰণ
partial correlation,আংশিক সম্পৰ্ক
partial derivative,আংশিক ডেৰাইভেটিভ
partial differential equation,আংশিক অৱভেদ্য সমীকৰণ
partial differentiation,আংশিক পাৰ্থক্য
partial fraction,ভগ্নাংশ ভগ্নাংশ
partial integration,আংশিক সংহতি
partially ordered,আংশিকভাৱে সজাই থোৱা হৈছে
partially ordered set,আংশিকভাৱে অৰ্ডাৰ কৰা ছেট
partial order,আংশিক ক্ৰম
partial regression coefficient,আংশিক ৰিগ্ৰেছন সহগ
partial sum,আংশিক যোগফল
particle,কণা
particular case,নিৰ্দিষ্ট পৰিস্থিতি
particular integral,বিশেষ অখণ্ড
particular solution,বিশেষ নাঙল
partition,"বিভাজন, বিতৰণ"
partitioning of matrices,মেট্ৰিক্সৰ বিভাজন
partition value,বিভাগীয় মূল্য
Pascal triangle,পাস্কেল ত্ৰিভুজ
pattern,"চিত্ৰ, প্ৰতি মূল্য, প্ৰতি প্ৰপত্ৰ, আৰ্হি"
pattern function,কাউণ্টাৰ ফাংচন
pattern problem,কপি সমস্যা
payload velocity,পেলোডৰ বেগ
payoff function,পেমেন্ট ফাংচন
payoff matrix,পেমেন্ট মেট্ৰিক্স
p-basis,p-বেছ
p-chart,p-আখৰ
Peano curve,পিয়ানো-বক্ৰ
Peano space,পিয়ানো সমষ্টি
pedal equation,পদ সমীকৰণ
percent,শতাংশ
percentage,শতাংশ
percentage error,শতাংশ ভুল
percentage frequency,শতাংশ কম্পাঙ্ক
percentage increase,শতাংশ বৃদ্ধি
percentage of error,সঠিকতা শতাংশ
percent decrease,শতাংশ মূল্য হ্ৰাস
percentile,শতাংশ
perfect cube,নিখুঁত ঘনক
perfect gas,আদৰ্শ গেছ
perfect number,নিখুঁত সংখ্যা
perfect set,নিখুঁত চেট
perfect square,নিখুঁত বৰ্গক্ষেত্ৰ
perfect square expression,নিখুঁত বৰ্গ অভিব্যক্তি
perimeter,পৰিধি
period,"সময়, সময়, সময়কাল, সময়কাল সূচকাংক (ত্ৰিকোণমিতি), সময়কাল, সময়কাল"
periodic curve,সময়কালীন বক্ৰ
periodic disturbances,পুনৰাবৃত্তিমূলক বিঘিনি
periodic function,সময়কালীন ফলন
periodic motion,পুনৰাবৃত্তিমূলক গতি
period of revolution,ঘূৰ্ণনৰ সময়
period of rotation,ঘূৰ্ণনৰ সময়
periodogram,কম্পাঙ্ক বক্ৰ
peripheral,"পেৰিফেৰেল, পেৰিফেৰেল, পেৰিফেৰেল"
permissible,"অনুমোদিত, অনুমোদিত"
permissible limit of error,অশুদ্ধিৰ অনুমোদিত সীমা
permutation,ক্ৰমবিন্যাস
permutation group,ক্ৰমবিন্যাস গোট
permutation matrix,ক্ৰমবিন্যাস মেট্ৰিক্স
permutation method,ক্ৰমবিন্যাস পদ্ধতি
perpendicular,লম্ব
perpendicularity,লেটেন্সি
perpendicularly,"উলম্বভাৱে, উলম্বভাৱে"
perpendicular plane,উলম্ব সমতল
personnel-assignment problem,কৰ্মচাৰী নিযুক্তিৰ সমস্যা
PERT (program evaluation review technique),pert
perturbation,বিৰক্তি
perturbation problem,বিৰক্তি
perturbed problem,বিৰক্তিকৰ সমস্যা
phase,"পৰ্যায়, পৰ্যায়, কোণ"
phase angle,কোণ
phase difference,সময়ে সময়ে
phase displacement,শিল্প বিচ্যুতি
physical astronomy,ভৌতিক জ্যোতিৰ্বিজ্ঞান
physical constant,ভৌতিক ধ্ৰুৱক
physical parameter,ভৌতিক প্ৰাচল
physical pendulum,ভৌতিক পেণ্ডুলাম
physical quantity,ভৌতিক পৰিমাণ
physical sciences,পদাৰ্থ বিজ্ঞান
