Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Ministerial,ଲିପିକ ବର୍ଗୀୟ କର୍ମଚାରୀ ସମୂହ
Ministry,ମନ୍ତ୍ରଳୟ
Minor,ନାବାଳିକ
Minority,ଅଳ୍ପ ସଂଖ୍ୟକ
Minor works,କ୍ଷୁଦ୍ର ନିର୍ମାଣ କାର୍ଯ୍ୟ
Minutes,"କାର୍ଯ୍ୟ ବିବରଣୀ, କାର୍ଯ୍ୟବୃତ୍ତ"
Misappropriation,"ଆତ୍ମାସାତ୍/କରଣ, ତୋଷରଫ"
Misbehaviour,"କଦାଚାର, ଦୁର୍ବ୍ୟବହାର"
Miscarriage of justice,ନ୍ୟାୟର ହତ୍ୟା
Miscellaneous,"ବିବିଧ, ବହୁବିଧ"
Mischief,"ଅନର୍ଥ, ଚଗଲାମି, ଅନର୍ଥକ, କାର୍ଯ୍ୟ, ଉତ୍ପାଦ, ବଦମାସି"
Misclassification,କୁବର୍ଗୀକରଣ
Misconduct,କୁଆଚରଣ
Mislead,"ପଥଭ୍ରଷ୍ଟ କରିବା, ବିପଥଗାମୀ କରିବା"
Mismanagement,କୁପରିଚାଳନା
Misrepresentation,"କ୍ରମାତ୍ମକ ପ୍ରତିବେଦନ, ଭୁଲ ଉପସ୍ଥାପନ, ମିଥ୍ୟା ବିବରଣୀ ପ୍ରଦାନ"
Misstatement of facts,"କୁବିବୃତ୍ତି ତଥ୍ୟ, କୁତଥ୍ୟ ବିବୃତ୍ତି"
Misunderstanding,"ଊୁଲ ବୁଝାମଣା, ମନାନ୍ତର"
Misuse,"ଅପବ୍ୟବହାର କରିବା, ଅପବ୍ୟବହାର"
Mixed economy,ମିଶ୍ର ପ୍ରତିକ୍ରିଯା
Mob,"ବିଶୃଙ୍ଖଳ ଜନତା, ବିକ୍ଷୁବ୍ଧ ଜନତା"
Mobile,"ଭ୍ରାମ୍ୟମାଣ, ଚଳମାନ"
Mobility,"ଚଳମାନତା, ଗତିଶୀଳତା"
Mode,"ଢଙ୍ଗ, ପ୍ରକାର"
Model,"ଆଦର୍ଶ, ପ୍ରତିରୂପ"
Moderator,"ନିୟାମକ, ସଂଚାଳକ, ଅନୁଶୋଧକ, ଅବଦମକ"
Modification,"ସଂଯମ, ନିୟମନ, ଅନୁଶୋଧନ, ଅବଦମନ"
Modus operandi,କାର୍ଯ୍ୟସାଧନ ପ୍ରଣାଳୀ
Monetary grant,ଆର୍ଥିକ ଅନୁଦାନ
Money,"ଧନ, ସଂପଦ, ଟଙ୍କା-ପଇସା, ଅର୍ଥ"
Monitor,"ପର୍ଯ୍ୟାଲୋଚନ, ବଡ଼ଚାଟ, ମନିଟର"
Monogamy,ଏକବିବାହ ପ୍ରଥା
Monogram,"ମନୋଗ୍ରାମ, ଗୁଚ୍ଛାକ୍ଷର"
Monopoly,"ଏକଚାଟିଆ, ଏକାଧିକାର"
Monotony,"ଏକସ୍ୱରତା, ଏକତାନତା"
Monthly tour diary,ମାସିକ ଗ୍ରସ୍ତ-ଡାଏରୀ
Month to month,ମାସକୁ ମାସ
Moral,"ନୈତିକ, ନୀତିଶିକ୍ଷା"
Morale,"ନୈତିକ ବଳ, ଆତ୍ମବିଶ୍ୱାସର ବଳ"
Moral turpitude,ନୈତିକ ଭ୍ରଷ୍ଟାଚାର
Moratorium,"ପରିଶୋଧ ସ୍ଥଗନ, ଅଧିସ୍ଥଗନ"
Mortality,"ମୃତ୍ୟୁସଂଖ୍ୟା, ମରଣଶୀଳତା"
Mortgage,"ବନ୍ଧକ, ବନ୍ଧକ ଦେବା"
Most confidential,ଅତ୍ୟନ୍ତ ଗୋପନୀୟ
Mother tongue,ମାତୃଭାଷା
Motion,"ପ୍ରସ୍ତାବ, ଗତି, ସମାବେଦନ, ମଳତ୍ୟାଗ"
Motion study,ଗତି ଅଧ୍ୟୟନ
Motivation,ପ୍ରେରଣା ଦେବା
Motive,"ପ୍ରେରଣା, ଅଭିପ୍ରାୟ, ଉଦ୍ଦେଶ୍ୟ, ପ୍ରେରକ, ଗତିଦାୟୀ"
Motto,"ଆଦର୍ଶ ଉକ୍ତି, ନୀତି ବାକ୍ୟ"
Mouthpiece,"ମୁଖପାତ୍ର, ପ୍ରବକ୍ତା, ମୁଖନଳ, ଲଗାମ, ଫୋନ୍ ରିସିଭର"
Movable,"ଅସ୍ଥାବର, ଗତିଶୀଳ, ଚଳନ୍ତି"
Move,"ଚଳେଇବା, ଘୁଞ୍ଚିବା, ଘୁଞ୍ଚାଇବା, ଆଗତ କରିବା, ଚେଷ୍ଟା ଆରମ୍ଭ, ଚଳନ, ଚାଳନ, ପଦକ୍ଷେପ, ପ୍ରସ୍ଥାନ"
Movement,"ଚଳନ୍ତ, ଚାଲିଚଳନ, ଆନ୍ଦୋଳନ, ଲୟ"
Multifarious (duties),"ବହୁବିଧ, ବିବିଧ"
Multipurpose,ବହୁମୁଖୀ
Municipal tax,ପୌର କର
Museum,ସଂଗ୍ରହାଳୟ
Muster roll,ହାଜିରା ନାମାବଳୀ
Mutation,"ଦାଖଲ ଖାରଜ୍, ନାମାନ୍ତରଣ"
Mutatis mutandis,ଆବଶ୍ୟକ ପରିବର୍ତ୍ତନ ସହିତ
Mutual understanding,ପାରସ୍ପରିକ ବୁଝାମଣା
Name card,ନାମ କାର୍ଡ
Narcotic,"ନିଦ୍ରାକାରକ, ନିଦ୍ରାକାରକ ଔଷଧ"
Narrative appraisal,ବର୍ଣ୍ଣନାତ୍ମକ ମୂଲ୍ୟାଙ୍କନ
Narrator,"ବର୍ଣ୍ଣନକର୍ତ୍ତା, ବାଚକ"
Nation,"ରାଷ୍ଟ୍ର, ଜାତି, ଦେଶ"
National,"ରାଷ୍ଟ୍ରୀୟ, ଜାତୀୟ"
Nationalism,"ରାଷ୍ଟ୍ରୀୟତା, ରାଷ୍ଟ୍ରବାଦ"
Nationality,"ରାଷ୍ଟ୍ରୀୟତା, ଜାତୀୟତା"
Nationalization,"ଜାତୀ ୟ କରଣ, ରାଷ୍ଟ୍ରୀୟ କରଣ"
National language,ରାଷ୍ଟ୍ରୀୟ ଭାଷା
National savings certificate,ରାଷ୍ଟ୍ରୀୟ ସଂଚୟ ପ୍ରମାଣପତ୍ର
Native,"ଦେଶୀ, ଦେଶୀୟ, ଦେଶକ, ଜନ୍ମଜାତ, ଆଦି ନିବାସୀ, ମୂଳ ନିବାସୀ"
Natural,"ପ୍ରାକୃତିକ, ସ୍ୱାଭାବିକ, ସାଧାରଣ, ନିୟତ"
Naturalization,ଦେଶୀୟକରଣ
Naval force,ନୌ ବଳ
Navigable,"ସୁନାବ୍ୟ, ନାବ ଚଳାଚଳଯୋଗ୍ୟ"
Navigation,"ନୌରପରିବହନ, ନୌଚାଳନ"
Nayes,ନାଁ-ପକ୍ଷ
Necessary action,"ଆବଶ୍ୟକ ପଦକ୍ଷେପ, ଦରକାରୀ କ୍ରିୟା"
Needful,"ପ୍ରୟୋଜନୀଯ, ଲୋଡ଼ା, ଦରକାରୀ"
Negative,"ନକାରାତ୍ମକ, ଫଟୋ ନେଗେଟିଭ, ପ୍ରଖ୍ୟାଖ୍ୟାନ"
Neglect,"ଅବହେଳା କରିବା, ଉପେକ୍ଷା କରିବା, ଅବହେଳା, ଉପେକ୍ଷା"
Negligence,"ଅବହେଳନ, ଉପେକ୍ଷା"
Negligible,"ଉପେକ୍ଷଣୀୟ, ନଗଣ୍ୟ"
Negotiability,"ଚୁକ୍ତି ଯୋଗ୍ୟ, ବିଚାରଣୀୟ"
Negotiable instrument,ଚୁକ୍ତି ଲିଖିତ
Negotiation,"କଥାବାର୍ତ୍ତା, ଚୁକ୍ତି ପୂର୍ବ ଆଲୋଚନା, ନିର୍ବନ୍ଧ, ଲେଖାପଢ଼ି"
Negotiator,"ମଧ୍ୟସ୍ଥ, ମଧ୍ୟସ୍ଥି"
Nepotism,"ସ୍ୱଜନ ତୋଷଣ, ସ୍ୱଜନ ପକ୍ଷପାତ"
Net,"ଜାଲ୍, ନିଟ୍, ଫାଶ, ଅବଶିଷ୍ଟ, ସର୍ବନିମ୍ନ, ପ୍ରକୃତ"
Net investment,ପ୍ରକୃତ ନିବେଶ
Neutral,"ନିଷ୍ପକ୍ଷ, ନିରପେକ୍ଷ"
News,"ସମ୍ବାଦ, ଖବର"
Newsletter,ସମାଚାର ପତ୍ର
Newspaper,"ସମ୍ବାଦପତ୍ର, ଖବରକାଗଜ"
News reader,"ସମ୍ବାଦ ବକ୍ତା, ଖବର ବକ୍ତା, ସମାଚାର ବକ୍ତା"
Next of kin,ପତ୍ରିକା ଦୋକାନ
Night duty,ରାତ୍ରି କର୍ତ୍ତବ୍ୟ
Nil report,"କିଛିନାହିଁ ରିପୋର୍ଟ, ଶୂନ୍ୟ ରିପୋର୍ଟ"
No admission,"ପ୍ରବେଶ ନିଷେଧ, ପ୍ରବେଶ ମନା"
No demand certificate,ନା-ଦାବି ପ୍ରମାଣପତ୍ର
Nomenclature,"ନାମମାତ୍ର, ଅତି ନଗଣ୍ୟ, ସାମାନ୍ୟ"
Nominal cost,ନାମମାତ୍ର ମୂଲ୍ୟ
Nominal value,"ନାମମାତ୍ର ମୂଲ୍ୟ, ମୁଦ୍ରିତ ମୂଲ୍ୟ"
Nominate,"ମନୋନୟନ କରିବା, ମନୋନୀତ କରିବା, ନାମିତ କରିବା"
Nomination,"ମନୋନୟନ, ନମାଙ୍କନ"
Nominee,ମନୋନୀତ ବ୍ୟକ୍ତି
Non-age,"ଅପ୍ରାପ୍ତବୟସ୍କତା, ନାବାଳକତା"
Non-contributory,"ଅଣସହାୟକ, ଅଣସାହାଯ୍ୟାକାରୀ, ଚାନ୍ଦା ଦିଆଯାଉନଥିବା"
Non-essential,"ଅନାବଶ୍ୟକ, ଅମଜରୁରୀ"
Non-gazetted,"ଅଣଗେଜେଟଭୁକ୍ତ, ଅରାଜପତ୍ରିତ"
Non-interest bearing,ସୁଧରହିତ
Non-judicial,ଅଣନ୍ୟାୟିକ
Non-ministrial,ଅଲିପିକ ବର୍ଗୀୟ
Non-negotiable,"ଅବିନିମେୟ, ଅବିଚାରଣୀୟ"
Non-official,"ବେସରକାରୀ, ଘରୋଇ"
Non-payment,"ଅପ୍ରଦାନ, ଅପରିଶୋଧ, ଅନାଦାୟ"
Non-payment certificate,"ଅପ୍ରଦାନ ପ୍ରମାଣପତ୍ର, ଅପରିଶୋଧ ପ୍ରମାଣପତ୍ର, ଅନାଦାୟ ପ୍ରମାଣପତ୍ର"
Non-practising allowance,ଅଣବୃତ୍ତିକ ଭତ୍ତା
Non-recurring expenditure,ଅନାବର୍ତ୍ତୀ ବ୍ୟୟ
Non-refundable,"ଅଣଫେରସ୍ତଯୋଗ୍ୟ, ଅଣଫେରସ୍ତୀ, ଅପ୍ରତିଦେୟ"
Non-statutory,ଅଣବୈଧାନିକ
Non-taxable income,"ଅକରଯୋଗ୍ୟ ଆୟ, କର ରହିତ ଆୟ"
Non-technical post,"ଅପ୍ରାୟଗିକ ପଦ, ଅବୈଷୟିକ ପଦ"
Non-traditional,"ଅଣପାରଂପରିକ, ଅପରାଂପରାଗତ"
Non-verbal communication,"ଅଶାଦ୍ଦିକ ସମ୍ବାଦ ପ୍ରଦାନ, ଚିଠିପତ୍ର ଆଦାନପ୍ରଦୋନ"
No objection certificate,ଅନାପତ୍ତି ପ୍ରମାଣପତ୍ର
"No profit, no loss",ବିନା ଲାଭ କ୍ଷତି
Norm,"ମାନାଦର୍ଶ, ରୀତି"
Normal,"ଯଥାରୀତି, ସ୍ୱାଭାବିକ"
No smoking,ଧୂମପାନ ନିଷିଦ୍ଧ
Notable,ମହତ୍ତ୍ୱପୂର୍ଣ୍ଣ
Not applicable (N/A),ଅପ୍ରପୁଜ୍ୟ
Not available (N/A),ଅନୁପଲବ୍ଧ
Note,"ଟିପ୍ପଣୀ, ନୋଟ୍, ପତ୍ର, ଟିବିବା, ଟିପ୍ପଣୀ ଲେଖିବା, ଦୃଷ୍ଟିଦେବା"
Notice,"ନୋଟିସ୍, ବିଜ୍ଞପ୍ତି, ଧ୍ୟାନ"
Noticeable,"ଦର୍ଶନୀୟ, ଉଲ୍ଲେଖନୀୟ, ଜ୍ଞାପନୀୟ, ଜ୍ଞାପନଯୋଗ୍ୟ"
Notification,"ଅଧିସୂଚନା, ସୂଚନାପତ୍ର, ଇସ୍ତାହାର, ବିଜ୍ଞାପନ, ଘୋଷଣା"
Notified area,ବିଜ୍ଞାପିତ କ୍ଷେତ୍ର / ଅଞ୍ଚଳ
Noting and drafting,ଟିପଣ ଏବଂ ଚିଠା
Notional pay,"ଆନୁମାନିକ ବେତନ, ଅନବଧାରିତ ବେତନ"
Not negotiable,"ଅବିଚାରଣୀୟ, ଅବିନିମେୟ"
Not negotiable instrument,"ଅବିନିମେଯ ଉପକରଣ, ଅବିଚାରଣୀଯ ଉପକରଣ"
Nucleus,"ନ୍ୟଷ୍ଟି, କେନ୍ଦ୍ରକ, ନିଉକ୍ଲିୟସ୍"
Null,ବାତିଲ
Null and void,ବାତିଲ ଓ ବ୍ୟର୍ଥ
Number,"ସଂଖ୍ୟା, ନମ୍ବର, ଗଣିବା, ସଂଖ୍ୟା ବସାଇବା, ନିରୂପଣ କରିବା"
Numbering,"ସଂଖ୍ୟାଙ୍କ, ସଂଖ୍ୟାବାଚକ"
Numeral,ଅଙ୍କ
Oath,"ଶପଥ, ହଲପ"
Oath of allegiance,ନିଷ୍ଠା ଶପଥ
Oath of office,ପଦ ଶପଥ
Obedience,"ଆଜ୍ଞାଧୀନତା, ଆଜ୍ଞାକାରିତା"
Obituary,"ମୃତ୍ୟୁ ସୂଚନା, ମୃତ୍ୟୁସୂଚକ"
Object,"ବସ୍ତୁ, ପଦାର୍ଥ, ଉଦ୍ଦେଶ୍ୟ, କର୍ମ, ଆପତ୍ତି କରିବା, ପ୍ରତିବାଦ କରିବା"
Objection,"ଆପତ୍ତି, ବିରୋଧ, ଅସମ୍ମତି"
Objective,"ଉଦ୍ଦେଶ୍ୟ, ବସ୍ତୁନିଷ୍ଠ, ବାସ୍ତବିକ"
Objects and reasons,ଉଦ୍ଦେଶ୍ୟ ଓ କାରଣ
Obligatory,"ବାଧ୍ୟତାମୂଳକ, ଅବଶ୍ୟ କରଣୀୟ, ନିଶ୍ଚିତ ପ ାଳନୀୟ"
Obscene,"ଅଶ୍ଳୀଳ, ଅଶିଷ୍ଠ, କୁତ୍ସିତ"
Obscene gesture,ଅଶ୍ଲୀଳ ହାବଭାବ
Observer,"ପାଳନକର୍ତ୍ତା, ପର୍ଯ୍ୟବେକ୍ଷକ, ମନ୍ତବ୍ୟଦାତା, ନିରୀକ୍ଷକ"
Obsolete,"ଅପ୍ରଚଳିତ, କ୍ରମଲୁପ୍ତ, ପୁରାତନ"
Obstruction,"ବାଧା, ଅବରୋଧ, ଅନ୍ତରାୟ"
Obvious,"ସ୍ପଷ୍ଟ, ପତ୍ୟକ୍ଷ, ପ୍ରକଟ"
Occasional,"ସାମୟିକ, ଅନିୟମିତ, ପ୍ରାସଙ୍ଗିକ"
Occupancy,"ଭୋଗଦଖଲ, ଅଧିଭୋଗ"
Occupant,"ଭୋଗଦଖଲକାରୀ, ଅଧିଭୋଗୀ"
Occupation,"ବୃତ୍ତି ସମ୍ବନ୍ଧୀୟ, ବତ୍ତିଗତ, ବ୍ୟବସାୟିକ, ଦଖଲ ସମ୍ବନ୍ଧୀୟ"
Occupy,"ବ୍ୟାପୃତ ରହିବା, ବୋଗଦଖଲ କରିବା, ଅଧିକାର କରିବା"
Octroi duty,ଅକ୍ଟ୍ରାଇ କର
Off day,"ଛୁଟିଦିନ, କର୍ମମୁକ୍ତ ଦିନ"
Off duty,"କାର୍ଯ୍ୟମୁକ୍ତ, କର୍ମମୁକ୍ତ"
Offensive,"ଆକ୍ରମକ, ମର୍ଯ୍ୟାଦା ଆନିକାରକ"
Offer,"ଅର୍ପଣ କରିବା, ପ୍ରସ୍ତାବ ଦେବା, ଉପହାର ଦେବା, ଅର୍ପଣ, ପ୍ରସ୍ତାବ, ନିବେଦନ, ଉପହାର"
Offer of appointment,ନିଯୁକ୍ତି ପ୍ରସ୍ତାବ
Office,"ପଦ, କାର୍ଯ୍ୟଳାୟ, ଦପ୍ତର"
Office of profit,କାର୍ଯ୍ୟାଳୟର ଲାଭ
Official,"ଅଧିକାରିକ, ପଦୀୟ, ଶାସକୀୟ, ସରକାରୀ, ପଦାଧିକାରୀ"
Officialdom,"ଅଧିକାରୀ ବର୍ଗ, ଅମଲାତନ୍ତ୍ର"
Official duty,ସରକାରୀ କର
Officialese,ସରକାରୀ ଅଥବା ବେସରକାରୀ ନଥିପତ୍ରରେ ବ୍ୟବହୃତ ଭାଷା
Official language,ସରକାରୀ ଭାଷା
Officially,ସରକାରୀ ଭାବରେ
Official report,ସରକାରୀ ରିପୋର୍ଟ
Official version,"ସରକାରୀ କଥନ, ଆନୁଷ୍ଠାନିକ ବିବରଣୀ"
Officiating,"ସ୍ଥାନାପନ୍ନ, ପଦାସୀନ"
Off the record,ରେକର୍ଡ ବହିର୍ଭୁତ
Okay (O.K.; okey),"ସବୁ ଠିକ୍, ଆଚ୍ଛା"
Ombudsman,"ଲୋକପାଳ, ଲୋକ ଆୟୁକ୍ତ"
On account grant,ଲେଖାଗତ ଅନୁଦାନ
On demand,ଦାବି ମାତ୍ରେ
On duty,"କର୍ତ୍ତବ୍ୟରତ, କାମରେ"
One sided,"ଦୁର୍ବହ, ଦୁଃସହ"
On line,ଅନ-ଲାଇନ
On-special duty,ବିଶେଷ କରିବା ହେତୁ
On the job training,କାର୍ଯ୍ୟ କରିବା ସମୟରେ ପ୍ରଶିକ୍ଷଣ
Onus,"ଜିମା, ଭାର, ଦାୟିତ୍ୱ"
Open day,ଖୋଲା ଦିନ
Open system,ଖୋଲା ପଦ୍ଧତି
Opening,"ରନ୍ଦ୍ର ବାଟ, ଖୋଲା ଜାଗା, ପ୍ରାରମ୍ଭ"
Opening balance,ପ୍ରାରମ୍ଭିକ ଅବଶେଷ
Opening hours,ଖୋଲା ରହିବା ସମୟ
Open learning,ମୁକ୍ତ ଶିକ୍ଷଣ
Open letter,ଖୋଲା ପତ୍ର
Open university,ମୁକ୍ତ ବିଶ୍ୱବିଦ୍ୟାଳୟ
Operating cost,"ପ୍ରଚାଳନ ମୂଲ୍ୟ, ପ୍ରଚାଳନ ଲାଗତ"
Operating staff,ପ୍ରଚାଳନ ଅମଲା
Operation,"ଅସ୍ତ୍ରୋପଚାର, କର୍ମ, ସମ୍ପାଦନ, ଚାଳନା, ପ୍ରବର୍ତ୍ତନ"
Operative,"ପ୍ରବର୍ତ୍ତନୀୟ, କାର୍ଯ୍ୟକାରୀ, ବ୍ୟାବହାରିକ, ଫଳପ୍ରଦ"
Opinion,"ମତ, ଅଭିମତ"
Opposition,ଜନମତ ସର୍ବକ୍ଷେଣ
Option,"ପସନ୍ଦ, ଇଚ୍ଛାଧୀନ, ବୈକଳ୍ପିକ, ଚୟନ"
Oral,"ମୌଖିକ, ବାଚନିକ"
Order,"ଆଦେଶ, ଶୃଙ୍ଖଳା, କ୍ରମ, ପନ୍ଥା, ଆଦେଶ ଦେବା, ଆଜ୍ଞା ଦେବା, ମଗାଇବା, ସଜାଇ ରଖିବା"
Order cheque,ଆଦେଶ ଚେକ୍
Order of reservation,ଆରକ୍ଷଣ କ୍ରମ
Ordinance,ଅଧ୍ୟାଦେଶ
Organization,"ସଂଗଠନ, ବ୍ୟବସ୍ଥା"
Organization chart,ସଂଗଠନ ତାଲିକା
Organizer,ସଂଗଠକ
Oriented,ଅଭିମୁଖୀ
Original,"ମୂଳ, ପ୍ରାଥମିକ, ମୌଳିକ"
Original department,ମୂଳ ବିଭାଗ
Original sale deed,ମୂଳ ଦଲିର
Ostensible owner,"ଦେଖାଣିଆ ମାଲିକ, ପ୍ରତୀୟମାନ ମାଲିକ"
Outbreak,"ପ୍ରାଦୁର୍ଭାବ, ବିଦ୍ରୋହ"
Outfit allowance,ସାଜାସଜ୍ଜା ଭତ୍ତା
Outgoing member,"ବହିର୍ଗାମୀ ସଭ୍ୟ, ବିଦାୟୀ ସଭ୍ୟ, ବହିର୍ଗମନ ସଭ୍ୟ"
Outgoing file,ବହିର୍ଗାମୀ ପାଇଲ୍
Outlay,"ଖର୍ଚ୍ଚ, ବ୍ୟୟ"
Outlet,"ନିର୍ଗମ ପଥ, ମହାଣ"
Outline,"ରୂପରେଖା, ବାହ୍ୟରେଖା, ଚିଠି ଖସଡ଼ା"
Outlook,"ଦୃଷ୍ଟିକୋଣ, ଦୃଷ୍ଟିଭଙ୍ଗୀ"
Out of court,ନ୍ୟାୟାଳୟ ବାହାରେ
Out of date,ଅପ୍ରଚଳିତ
Out of order,"ବିଶୃଙ୍ଖଳ, ବିଗିଡ଼ି ଯାଇଥିବା"
Out of print,ଅପ୍ରାପ୍ୟ
Out of turn,"ଉତ୍ପନ, ଉତ୍ପନନ ଦ୍ରବ୍ୟ, କାର୍ଯ୍ୟ ସମ୍ପାଦନ, ଫଳାଗମ"
Out of turn allotment,"ବିନା କ୍ରମ ଆବଣ୍ଟନ, ବିଜାବାରି ଆବଣ୍ଟନ"
Outpost,ଫାଣ୍ଡି
Output,"ଉତ୍ପାଦନ, ପରିଣାମ"
Outright purchase,"ସିଧାସଳଖ ଖରିଦ, ଏକାଥରେ କିଣା"
Outsource,ବାହ୍ୟ ସ୍ରୋତ
Outstanding,"ଅଦିଆ, ଅଶୁଝା, ଅତି ଉକୃଷ୍ଟ, ଉଲ୍ଲେଖନୀୟ"
Over age,ଅଧିକ ବୟସ
Overall,"ସର୍ବପରି, ସାମଗ୍ରିକ, ସାରା"
Overall deficit,ସାମଗ୍ରିକକ୍ଷତି
Overall billing,ସାମଗ୍ରିକ ବିଲ ପ୍ରସ୍ତୁତ କରିବା
Overcharge,"ଅଧିକ ଦେୟ ମାଗିବା, ଅଧିକ ଭାର"
Overdue,"ସମୟାତିକ୍ରାନ୍ତ, ସମୟାତୀତ"
Overestimate,ଅଧିକ ଅଟକଳ କରିବା
Overhead charge,ଉପରି ଦେୟ
Overlapping,ଅତି ବ୍ୟାପ୍ତି
Overriding priority,ଅଧିଭାବୀ ପ୍ରାଥମିକତା
Over-rule,"ଓଲଟାଇବା, ନାମଞ୍ଜୁର କରିବା"
Oversight,ଅନବଧାନତା
Overtime pay,ଅଧିକାଳିକ ବେତନ
Overvaluation,ଅଧିମୂଲ୍ୟାଙ୍କନ
Ownership,"ମାଲିକ ସ୍ୱତ୍ୱ, ମାଲିକାନା"
Package,"ଗଣ୍ଠିଲି, ପ୍ୟାକେଟ୍"
Package deal,"ସାମୂହିକ ଚୁକ୍ତି, ସାମୂହିକ ସର୍ତ୍ତ"
Packing and marking,"ପ୍ୟାକିଙ୍ଗ, ଗଣ୍ଠିଲି/ଡିବା ବନ୍ଧେଇ ଓ ମାର୍କିଙ୍"
Packing list,ପ୍ୟାକିଙ୍ଗ ତାଲିକା
Pact,"ଚୁକ୍ତି, ମେଣ୍ଟ, ବୁଝାମଣା, ସନ୍ଧି"
Paid,"ପ୍ରଦତ୍ତ, ବେତନଗ୍ରାହୀ"
Paid up capital,ସମାଦତ୍ତ ପୁଞ୍ଜି
Pamphlet,"ପ୍ରଚାର ପତ୍ର, ମୁଦ୍ରିତ ପତ୍ର"
Panel,ନାମ ତାଲିକା
Paper,କାଗଜ
Para,"ଅନୁଚ୍ଛେଦ, ପାରା"
Paramount,"ପରମ, ସର୍ବଶ୍ରେଷ୍ଠ"
Parent,"ପିତାମାତା, ମୂଳ"
Parental,ପୈତୃକ
Parent office,ମୂଳ ଦପ୍ତର/ କାର୍ଯ୍ୟାଳୟ
Par excellence,ସର୍ବୋକୃଷ୍ଟ
Pari passu,"ସମରୂପ, ସମଗତି"
Parity,"ସମାନତା, ସମ ମୂଲ୍ୟତା"
Parliament,"ସଂସଦ, ପାର୍ଲାମେଣ୍ଟ"
Part,"ଅଂଶ, ଭାଗ, ଭୂମିକା, ଯନ୍ତ୍ରାଂସ, ବିଦାୟ ନେବା, ବିଭକ୍ତ କରିବା"
Part file,"ଆଂଶିକ ନଥିବା, ଖଣ୍ଡ-ଫାଇଲ୍"
Partial,"ଆଂଶିକ, ପକ୍ଷପାତୀ, ଅପୂର୍ଣ୍ଣ"
Participate,"ଅଂଶଗ୍ରହଣ କରିବା, ଯ଼ୋଗଦେବା"
Particular,"ବିଶେଷ, ନିର୍ଦ୍ଦିଷ୍ଟ, ସ୍ୱତନ୍ତ୍ର"
Particulars,ସବିଶେଷ ବିବରଣ
Partition,"ବଣ୍ଟୁଆରା, ବିଭାଜନ, ବାଣ୍ଟିବା, ଆଂଶିକ"
Partner,"ଭାଗୀଦାର, ସହଭାଗୀ, ଅଂଶୀଦାର"
Partnership deed,ଭାଗିଦାରୀ ଦଲିଲ
Part payment,ଆଂଶିକ ପ୍ରଦାନ
Part-time,ଅଂଶକାଳିକ
Party,"ପକ୍ଷ, ଭୋଜି"
Par value,ସମମୂଲ୍ୟ
Pass,"ଉତ୍ତୀର୍ଣ ହେବା, ପାରିତ ହେବା, ପାର ହେବା, ପାରଣ, ପାସ୍, ଗିରିସଙ୍କଟ, ଅନୁମତି ପତ୍ର, ଉତ୍ତୀର୍ଣ୍ଣ"
Passage,"ଯ଼ାତ୍ରା, ମାର୍ଗ, ପାରଣ, ଲେଖାଂଶ, ଯ଼ାନବଡ଼ା"
Password,ସଙ୍କେତ ସବ୍ଦ
Patent,"ଅଠାରେ ଯୋଡ଼ିବା, ଅଠା, ଲେହି"
Patron,"ପୃଷ୍ଠପୋଷକ, ସଂରକ୍ଷକ, ଗ୍ରାହକ"
Pay,"ପ୍ରଦାନ କରିବା, ପରିଶୋଧ କରିବା, ମୂଲ୍ୟ ଦେବା, ବେତନ"
Pay bill,"ବେତନ ବିଲ୍, ଦରମା ବିଲ୍"
Pay certificate,ବେତନ ପ୍ରମାଣପତ୍ର
Pay day,"ବେତନ ଦିବସ, ଦରମା ତାରିଖ"
Payee,"ଗ୍ରହୀତା, ପ୍ରାପ୍ତକର୍ତ୍ତା, ପ୍ରାପକ"
Payer,"ପ୍ରଦାତା, ପ୍ରଦାନକର୍ତ୍ତା"
