abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
reform,"సంస్కరణ, సంస్కరించు"
refrain from,"వెనుకకు పట్టి నిలుపు, విరక్తి చెందిన"
refreshment,"ఉపాహారశాల, ఫల హారశాల"
refund,వాపసుచేయు (ధన సం.)
refundable,"వాపను ఇవ్వదగిన, తిరిగి ఇవ్వదగిన"
refusal,నిరాకరణ
refuse,నిరాకరణ చేయు
refused leave,నిరాకరించిన సెలవు
refutation,ఖండన
regard,"ఖాతరు చేయు, మన్నించు, ఆదరించు"
region,ప్రాంతం
regional,ప్రాంతీయ
register,"పట్టీ పుస్తకము, జాబితా పుస్తకము"
registered,నమోదు చేయబడిన
registered office,"రిజిస్టరైన, నమోదైన కార్యాలయం"
registering authority,"రిజిస్టర్ చేసే అధికార సంస్థ, అధికారి"
registration form,నమోదు పత్రము
registrtion fee,రిజిస్ట్రేషన్ రుసుం
registry,"పంజీకరణ, పంజీకరణ చేసిన"
regret,"విచారించు, దుఃఖించు"
regrouping,పునఃవర్గీకరణ
regular,"క్రమబద్ధ, నియతకాలిక, నియత"
regular cadre,క్రమబద్ధ ఉద్యోగవర్గం
regular service,"క్రమబద్ధ ఉద్యోగం, సేవ"
regularization,"క్రమబద్ధం చేయటం, నియమానుకూలం చెయ్యడం"
regulations,"నిబంధన, క్రమబద్ధం"
rehabilitation,"పునరావాసం, పునరావాస కల్పన"
rehearsal,"పూర్వాభ్యాసం, రిహార్సల్"
reimburse,"మారుగా చెల్లించు, ప్రతిపూర్తి చేయు"
reinstate,"పునఃస్థాపన చేయు, తిరిగి అదే పదవిలో ఉంచు"
reiterate,పునరుద్ఘాటించు
reject,"తోసిపుచ్చు, నిరాకరించు, తిరస్కరించు"
rejection,తిరస్కరణ
rejoinder,ప్రతిజవాబు/ప్రత్యుత్తరం బదులు
relation,"సంబంధము, కథనము, వివరము"
relative,"సాపేక్ష, బంధువు"
relative valuation,సాపేక్ష మూల్యాంకనము
relaxation,"సడలింపు, విశ్రాంతి"
relaxation of rules,నియమాల సడలింపు
release,"విడుదలచేయు, ఆవిష్కరించు"
release date,విడుదల తేదీ
relevant,"సంబద్ధ, సంగతమైన"
relevant papers,"సంగతమైన ప్రతులు, సంబంధ పత్రాలు"
reliable,"విశ్వసనీయమైన, నమ్మకమైన"
relief,"సహాయం, పరిహారం, విముక్తి"
relief and rehabilitation,సహాయమూ పునరావాసమూ
relief list,"పరిహార జాబితా, సహాయ జాబితా"
relief works,"సహాయక పనులు, సహాయ కార్యక్రమాలు"
relieve,విడుదల చేయు
reliever,విడుదల చేయు వ్యక్తి
relinquishment,"త్యాగం, వదిలివేయటం"
relinquishment of charge,కార్య నిర్వహణ వదలివేయుట
relocation,పునఃస్థిరీకరించుట
reluctance,"అయిష్టత, అసమ్మతం"
remark,"రిమార్కులు, షరాలు, విశేషాంశాలు"
remarks column,విశేషాంశాల/రిమార్కుల కాలమ్
remedial action,పరిహారకచర్య
remedial measures,"పరిహారక ఉపాయములు, పరిహారక కొలతలు"
remedial transfer,"పరిహారిక స్థానాంతరణ, పరిహారక బదిలీ"
reminder,జ్ఢాపకలేఖ
remission,"తగ్గింపు, మాఫీ, నివృత్తి"
remit,"(డబ్బు)చెల్లించు/పంపు, వెనకకు"
remitee,డబ్బు పొందేవాడు
remittance,"జమ, చెల్లింపు"
remote,"దూరముగా నున్న, దూరపు"
remote control,దూరపు నియంత్రణ
removal,"తొలగింపు, నివారణ"
remuneration,"ప్రతిఫలం, పారితోషికం"
render,"ఇచ్చు, వదులుకొను, తిరిగి ఇచ్చు"
renewal,నవీకరణ
renewal of demand,"తిరిగి కోరుట, కోరికను నవీకరించుట"
renounce,"త్యజించు, సన్యసించు, త్యాగం చేయు"
renovation,పునరుద్ధరణ
rent,"అద్దె, కౌలు, బాడుగ, కిరాయి, మక్తా"
rented space,"కిరాయి స్థలం, అద్దెస్థలం"
reopening,పునఃప్రారంభించుట
reorganization,పునః వ్యవస్థీకరణ
reorientation,పునరభ్యసన
repairable,మరమత్తు చేయదగిన
repatriate,"స్వదేశానికి పంపివేయు, స్వస్థలానికి పంపివేయు"
repatriation of services,సేవలను మాతృసంస్థకు తిరిగి పంపుట
repay,చెల్లింపు
repayable,తిరిగి చెల్లించవలసిన
repeal,కొట్టివేత రద్దు
repeat order,పునరాదేశం
repetitive work,తిరిగి పని చేయుట
replace,యథాస్థానములో ఉంచు
replacement,"ప్రతిస్థాపన, బదులుగా చేర్చటం"
replenishment,తిరిగి నింపట
report,"నివేదిక, నివేదించు"
repository,నిక్షేపస్థానం
representation,ప్రాతినిధ్యము వహించు
representative,"ప్రతినిధి, ప్రతినిధి వంటి వానివలె వ్యవహరించు"
reprimand,"మందలింపు, మందలించు"
reprint,పునర్ముద్రణ
reprisal,ప్రతీకారం (యుద్ధ సం)
reproduce,పునరుత్పత్తి చేయు
reproduction,పునరుత్పత్తి
republic day,"రిపబ్లిక్, గణతంత్ర దినోత్సవాలు"
