ab initio,"મૂળથી, પ્રારંભથી"
reorganization,પુનર્ગઠન
reorientation,"પુનઃવિન્યાસ, પુનઃકેન્દ્રીકરણ"
repairable,"મરામતયોગ્ય, સમારકામ યોગ્ય"
repatriate,સ્વદેશ પાછું મોકલવું
repatriation of services,સેવાઓનું પાછી લેવી
repay,"ચૂકવવું, ઋણમુક્તિ, દેવામુક્તિ"
repayable,પાછું આપવા યોગ્ય
repeal,"બાતલ કરવું, રદ કરવું"
repeat order,"પુન:આદેશ, ફરી હુકમ કરવો"
repetitive work,પુનરાવર્તિત કાર્ય
replace,"બદલી, બદલવું, બદલીમાં મૂકવું, -ને સ્થાને"
replacement,"પ્રતિસ્થાપન, બદલીમાં મૂકવું"
replenishment,પુનઃપૂર્તિ
report,"અહેવાલ, હેવાલ"
repository,"નિધિ, સંગ્રહ"
representation,પ્રતિનિધિત્વ
representative,પ્રતિનિધિ
reprimand,"ફટકાર, ધિક્કાર"
reprint,પુનઃમુદ્રણ
reprisal,"બદલો, બદલો લેવો, વેર"
reproduce,પ્રતિકૃતિ
reproduction,"જનન, પ્રજનન"
republic day,"પ્રજાસત્તાક દિન, પ્રજાસત્તાક દિવસ, ગણતંત્ર દિન"
repudiate,નિરાકરણ કરવું
repugnant,વિરુદ્ધ
repurchase,"ફરી ખરીદવું, પુનઃખરીદ"
reputation,"પ્રસિદ્ધિ, પ્રતિષ્ઠા"
requirement,"જરૂરત, અપેક્ષા"
requisite,વિનંતી(થી) પ્રાપ્તિ
requisite information,"અપેક્ષિત જાણકારી, અપેક્ષિત માહિતી"
requisites,"અપેક્ષિત ચીજો, અપેક્ષિત વસ્તુઓ"
requisition,"માંગ, અધિગ્રહણ"
requisition form,"માંગ ફોર્મ, માંગ આવેદન"
requisition slip,"માંગ પરચી, માંગ ચિટ્ઠી"
rescue,"બચાવ, રાહત"
research work,"સંશોધન કાર્ય, શોધકાર્ય"
resentment,"નારાજગી, નાખુશી"
reservation,અનામત
reservation fee,"અનામત ફી, આરક્ષણ શુલ્ક"
reservation of post,પદોનું અનામત
reserve,"સુરક્ષિત રાખવું, અનામત રાખવું"
reserve price,"અનામત કિંમત, અનામત મૂલ્ય"
reserved accommodation,"આરક્ષિત સ્થાન, અનામત જગ્યા"
reserved constituency,"આરક્ષિત મતક્ષેત્ર, અનામત મતવિસ્તાર"
resettlement,"પુનઃવ્યવસ્થાપન, પુનર્વાસ"
reshuffle,"ફેરબદલ, તળેઉપર"
residence,"નિવાસ, આવાસ, નિકેત"
resident,"નિવાસી, સ્થાનિક"
resident permit,"આવાસ પત્ર, આવાસ અનુમતિ"
residential,"આવાસી, નિવાસી"
residential accommodation,આવાસ વ્યવસ્થા
residential address,નિવાસનું સરનામું
residential quarter,આવાસી રહેણાંક
residuary,અવશિષ્ટ
residuary pension,અવશિષ્ટ પેન્શન
residuary power,અવશિષ્ટ સત્તા
resignation,રાજીનામું
resist,પ્રતિરોધ
resolution,સંકલ્પ
respectfully,"સાદર, આદર સહિત"
respectively,"ક્રમશઃ, ક્રમાનુસાર"
respondent,પ્રત્યર્થી
response,"પ્રત્યુતર, પ્રતિભાવ"
responsibility,"જવાબદારી, ઉત્તરદાયિત્વ"
responsible,જવાબદાર
responsive,પ્રતિક્રિયાત્મક
rest house,વિશ્રામગૃહ
restore,પુનઃસ્થાપન
restraint,"અવરોધ, ગતિરોધ, નિયંત્રણ"
restricted,"પ્રતિબંધિત, સીમિત"
restricted leave,પ્રતિબંધિત રજા
restriction,પ્રતિબંધ
result oriented work,પરિણામલક્ષી કાર્ય
resume,સારવૃત્ત
resummon,પુનઃ
resumption,"પુનઃઆરંભ, પુનઃપ્રારંભ"
retain,"રોકવું, રોકી રાખવું"
retention price,"પ્રતિધારણ કિંમત, પ્રતિધારણ મૂલ્ય"
retired,"નિવૃત, સેવાનિવૃત્ત"
retirement,"નિવૃત્તિ, સેવાનિવૃત્તિ"
retirement benefits,નિવૃત્તિ લાભો
retiring age,નિવૃત્તિવય
retiring pension,નિવૃત્તિ પેંશન
retrenched staff,છટણી કરેલો સ્ટાફ
retrenchment,છટણી
retroactive pay,પૂર્વપ્રભાવી વેતન
return,"વિવરણ, પ્રતિલાભ, પ્રતિફળ"
return journey,પરત પ્રવાસ
return of post,પરત આવેલી ટપાલ
revalidation,પુનઃમાન્યતા આપવી
revaluation,પુનઃમૂલ્યાંકન
revenue,મહેસૂલ
revenue expenditure,મહેસૂલી ખર્ચ
revenue stamp,રસીદી ટિકિટ
reverse,"ઉલટું, ઊંધું, પ્રતિલોમ"
reverted,પ્રતિવર્તિત
review,"સમીક્ષા, સમીક્ષા કરવી"
review board,સમીક્ષા મંડળ
revise,"પરિશોધિત કરવું, સંશોધિત કરવું"
revised agenda,સંશોધિત કાર્યસૂચિ
revised budget,સંશોધિત અંદાજપત્ર
revised estimate,"પરિશોધિત આકલન, સંશોધિત આકલન"
revised rules,સંશોધિત નિયમો
revision,"પુનઃનિરીક્ષણ, પરિશોધન"
revision of pay scale,પગારધોરણમાં સંશોધન
revival,પુનઃજીવન પુનર્જીવન
revocation,પ્રતિસંહરણ
revoke,પ્રતિસંહરણ કરવું
revolution,ક્રાંતિ
revolving fund,"પરિક્રમી કોશ, ફરતો કોશ, ચલ નિધિ"
reward,"પારિતોષિક, પ્રતિફળ"
reward scheme,પારિતોષિક યોજના
right,"અધિકાર, હક્ક, સાચું"
rightful claimant,"સાધિકાર, દાવેદાર, હકદાર દાવેદાર"
rigid,"કઠોર, રૂઢિચુસ્ત"
riot,"તોફાન, તારતોફાન, દંગાફસાદ"
risk,જોખમ
risk purchase,જોખમ ખરીદ
rival,"હરીફ, વિરોધી, પ્રતિદ્વંદી"
road mileage,"પ્રવાસ ભથ્થું, સડક માર્ગે અંતર"
roadways,"સડક માર્ગ, સડક પરિવહન"
role,"ભૂમિકા, પાત્ર"
roll,"લાપેટવું, ફેરવવું, નામાવલિ, પત્રક"
roll number,"રોલનંબર, નોંધણી ક્રમાંક"
rolling plan,પ્રવાહી યોજના
roster,રોસ્ટર
rotation,"ચક્રાનુક્રમ, વારાફરતી"
rough,"કાચું, રુક્ષ, મોટું"
rough copy,કાચી નકલ
rounding off,પૂર્ણાંકિત કરવું
route,"મૂળ, માર્ગ"
routine,"ઘટમાળ, રોજિંદુ, રોજબરોજનું"
routine note,નિયમીત ટિપ્પણી
routine test,"નિયમીત પરીક્ષણ, નિયમીત કસોટી"
royalty,સ્વામીત્વ
rubber stamp,રબ્બરનો સિક્કો
rude,"અશિષ્ટ, અભદ્ર, અસંસ્કારી"
rule,"નિયમ, શાસન, વ્યવસ્થા"
ruler,"શાસક, રાજા"
rules and regulations,"નિયમ, વિનિમય"
rules of business,"વ્યવસાયના નિયમો, ધંધાના નિયમો"
ruling,"વ્યવસ્થા, આદેશ"
ruling party,શાસક પક્ષ
rumour,અફવા
running staff,ચલ સ્ટાફ
rural development plan,ગ્રામીણ વિકાસ યોજના
rural upliftment,"ગ્રામીણ વિકાસ, ગ્રામોત્કર્ષ, ગ્રામોત્થાન"
rustication,"નિષ્કાસન, પ્રવેશ રદ કરવો, કાઢી મુકવું"
sabbatical leave,"વિરામ અવકાશ, વિરામની રજાઓ"
sabotage,"તોડફોડ, ભાંગફોડ"
sack,"કાઢી મુકવું, બરખાસ્ત કરવું"
safe,"સલામત, સુરક્ષિત"
safe custody,સલામત કબજામાં
safeguarding,"સલામત રાખવું, સુરક્ષિત રાખવું"
safety,સુરક્ષા
safety device,સુરક્ષા ઉપકરણ
safety regulations,સુરક્ષા નિયમો
salaried class,વેતનભોગી વર્ગ
salary,"વેતન, પગાર"
salary cheque,"પગારનો ચેક, વેતનનો ચેક"
salary deduction,"વેતન કપાત, પગાર કપાત"
salary review,"વેતન સમીક્ષા, પગાર સમીક્ષા"
salary structure,"વેતન માળખું, પગાર માળખું"
sale deed,"વેચાણખત, સાટાખત"
sales department,વેચાણવિભાગ
