Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Prejudice,"ਪ੍ਰਤਿਕੂਲ ਪ੍ਰਭਾਵ, ਤਰਦਾਰੀ, ਪ੍ਰਤਿਕੂਲ ਪ੍ਰਭਾਵ, ਪਾਣਾ, ਤਰਫਦਾਰੀ ਪੈਦਾ ਕਰਨਾ"
Preliminary,"ਪ੍ਰਾਰੰਭਿਕ, ਮੁੱਢਲੀ"
Premature,ਸਮੈ ਪੂਰਣ
Premises,"ਪਰਿਸਰ, ਅਹਾਤਾ, ਪਰਿਖੇਤਰ"
Premium,"ਬੀਮਾਕਿਸਤ, ਪ੍ਰੀਮਿਅਮ, ਵਾਧਾ"
Prepaid,ਪੂਰਣ ਪ੍ਰਦੱਤ
Prepaid card,ਪ੍ਰੀਪੇਡ ਕਾਰਡ
Pre-planned,ਪੂਰਣ ਨਿਯੋਜਿਤ
Prepone,ਪਹਿਲੇ ਲਿਆਉਣਾ
Pre-receipted bill,ਰਸੀਦ ਸਹਿਤ ਬਿਲ
Prerogative,ਪਰਮ ਅਧਿਕਾਰ
Prescribe,"ਨਿਰਧਾਰਿਤ ਕਰਨਾ, ਮੁਸਖਾ ਲਿਖਣਾ, ਲਗਾਉਣੀ(ਕਿਤਾਬ)"
Prescribed,"ਨਿਰਧਾਰਿਤ, ਨਿਰਦਿਸ਼ਟ"
Prescribed form,ਨਿਰਧਾਰਿਤ ਪੱਤਰ
Presentation,ਪ੍ਰਸਤੁਤੀਕਰਨ ਕਰਨਾ
Preside,"ਪ੍ਰਧਾਨਗੀ ਕਰਨਾ, ਪ੍ਰਮੁੱਖ ਹੋਣਾ"
President,"ਰਾਸ਼ਟਰਪਤੀ, ਪ੍ਰਧਾਨ"
Press,"ਛਾਪਾਖਾਨਾ, ਅਖਬਾਰ, ਪ੍ਰੇਮ"
Press copy,ਪ੍ਰੇਸ ਕਾਪੀ
Press gallery,ਪ੍ਰੇਮ ਗੈਲਰੀ
Presumed,ਪਰਿਕਲਪਿਤ
Presumptive pay,ਪਰਿਕਲਪਿਤ ਵੇਤਨ
Presupposed,ਪੂਰਣਕਲਪਿਤ
Pretext,ਬਹਾਨਾ
Prevail,"ਪ੍ਰਚਲਿਤ ਹੋਣਾ, ਹਾਵੀ ਹੋਣਾ"
Prevent,"ਵਰਜਣਾ, ਰੋਕਣਾ"
Prevention,ਰੋਕਥਾਮ
Preventive,ਨਿਵਾਰਕ
Price fluctuation (=price movements),"ਕੀਮਤ ਦਾ ਉਤਾਰ-ਚੜਾਉ, ਘਟ-ਵੱਧ ਕੀਮਤ"
Pricing,ਕੀਮਤ ਨਿਰਧਾਰਣ
Prima facie,"ਪਹਿਲੀ ਦ੍ਰਿਸ਼ਟੀ ਨਾਲ, ਪ੍ਰਗਟ ਤੌਰ ਤੇ"
Primarily,"ਮੁੱਖ ਰੂਪ ਵਿਚ, ਪ੍ਰਧਾਨ ਰੂਪ ਵਿਚ"
Primary,ਪ੍ਰਾਥਮਿਕ
Primary receipt,ਪ੍ਰਾਪਤੀ ਪੱਤਰ
Principal,"ਪ੍ਰਿੰਸੀਪਲ, ਪ੍ਰਧਾਨ, ਮੂਲਧਨ, ਸਾਲਿਕ, ਸੁਆਮੀ"
Principal debtor,ਮੂਲ ਕਰਜਦਾਰ
Printer,"ਮੁਦ੍ਰਕ, ਛਾਪਾਕਾਰ"
Printing,ਛਪਾਈ
Prior indication,ਪੂਰਣ ਸੰਕੇਤ
Priority grading,ਪ੍ਰਾਥਮਿਕਤਾ ਦੀਆਂ ਸ਼੍ਰੇਣੀਆ(ਕੋਟੀਆਂ)
Prison,"ਜੇਲ, ਕੈਦ ਖਾਨਾ, ਬੰਦੀਖਾਨਾ, ਹਵਾਲਾਤ"
Prisoner,"ਕੈਦੀ, ਬੰਦੀ"
Privacy,"ਇਕਾਂਤਤਾ, ਗੁਪਤਤਾ"
Private and confidential,ਨਿਜੀ ਤੇ ਗੋਪਨੀ
Privilege,ਵਿਸ਼ੇਸ਼ ਅਧਿਕਾਰ
Privilege committee,ਵਿਸ਼ੇਸ਼ ਅਧਿਕਾਰ ਸਮਿਤੀ
Prize,"ਪੁਰਸਕਾਰ, ਇਨਾਮ"
Probability,"ਸੰਭਾਵਿਤਾ, ਸੰਭਾਵਿਕੀ"
Probate,"ਇੱਛਾ ਪੱਤਰ ਪ੍ਰਮਾਣ, ਪ੍ਰੋਬੇਟ"
Probation,"ਪਰਖ, ਪਰਖਅਵਧੀ"
Probationary,ਪਰਖ ਅਧੀਨ
Probationer,ਪਰਖ ਅਧੀਨ
Probe,ਛਾਣ-ਬੀਣ
Procedural rules,ਕਾਰਜ ਵਿਧੀ ਨਿਯਮ
Procedure,"ਪ੍ਰਕ੍ਰਿਆ, ਕਾਰਜਵਿਧੀ"
Proceedings,ਕਾਰਵਾਈ
Process,"ਪ੍ਰਕ੍ਰਿਆ, ਤਰੀਕਾ, ਹੁਕਮਨਾਮਾ(ਕਨੂੰਨੀ)"
Processing,"ਕ੍ਰਮ ਬੱਧਤਾ, ਸੰਸਾਧਨ, ਪਰਸੰਸਕਰਣ"
Procession,"ਜਲੂਸ, ਸ਼ੋਭਾ ਜਾਤਰਾ"
Proclaim,ਐਲਾਨ ਕਰਨਾ
Proclamation,ਐਲਾਨ
Procurement,"ਪ੍ਰਾਪਤੀ, ਵਸੂਲੀ"
Product,"ਉਤਪਾਦ, ਉਪਜ"
Production,"ਪੈਦਾਵਾਰ, ਉਪਜ, ਪ੍ਰਸਤੁਤੀਕਰਨ"
Profession,"ਪੇਸ਼ਾ, ਰੋਜਕਾਰ, ਉਮਜੀਵਿਕਾ"
Professional achievement,ਪੇਸ਼ਾਵਰ ਉਪਲੱਬਧੀਆਂ
Proficiency certificate,ਪ੍ਰਵੀਣਤਾ ਪ੍ਰਮਾਣ ਪੱਤਰ
Profile,ਵਿਵਰਣਿਕਾ
Profit,ਲਾਭ
Programme,"ਪ੍ਰੋਗਰਾਮ, ਕਾਰਜਕਰਿ, ਕ੍ਰਮ ਆਦੇਸ਼"
Programme schedule,ਕਾਰਜ ਕ੍ਰਮ ਸੂਚੀ
Programming,"ਕਾਰਜ ਕ੍ਰਮ, ਕ੍ਰਮ ਆਦੇਸ਼"
Progress,ਪ੍ਰਗਤੀ
Progressive,"ਪ੍ਰਗਤੀਸ਼ੀਲ, ਅਗਾਂਹ ਵੱਧੂ"
Prohibited,ਵਰਜਿਤ
Prohibited area,ਵਰਜਿਤ ਖੇਤਰ
Prohibition,"ਵਰਜਿਤ, ਨਸ਼ਾਬੰਦੀ, ਸ਼ਰਾਬਬੰਦੀ"
Prohibitory order,ਨਿਸ਼ੇਧ ਆਗਿਆ
Project,"ਪਰੀ ਯੋਕਾਨਾ, ਪ੍ਰਾਜੈਕਟ"
Projection,"ਪ੍ਰਖੇਪ, ਪਖੇਪਣ"
Prominent,"ਪ੍ਰਮੁੱਖ ਪ੍ਰਧਾਨ, ਵਿਸ਼ਿਸ਼ਟ"
Promise,"ਵਚਨ, ਵਚਨ ਦੇਣਾ"
Promissory note (pronote),"ਵਚਨ ਪੱਤਰ, ਪ੍ਰੋਨੋਟ ਰੁੱਕਾ"
Promote,"ਤਰੱਕੀਦੇਣੀ, ਦਰਜਾ ਵਧਾਉਣਾ"
Promoter,ਪਰਵਰਤਕ
Promotion,"ਤਰੱਕੀ, ਪਦ ਉਨੱਤੀ, ਵਰਧਨ"
Promt,"ਝਟਪਟ, ਤੁਰੰਤ"
Promulgate,"ਐਲਾਨ ਕਰਨਾ, ਲਾਗੂ ਕਰਨਾ"
Pronounce,"ਸੁਣਾਉਣਾ, ਨਿਰਣਾ ਦੇਣਾ"
Pronouncement,ਨਿਰਣਾ ਸੁਨਾਣਾ
Proof,"ਸਬੂਤ, ਪਰਮਾਣ, ਪਰੂਫ(ਪ੍ਰੇਮ)"
Proof of despatch,ਭੇਜਣ(ਘੱਲਣ) ਦਾ ਪ੍ਰਮਾਣ
Proof reading,"ਪਰੂਫ ਸ਼ੋਧਣ, ਪਰੂਫ ਪੜ੍ਹਣਾ"
Propagate,ਪ੍ਰਚਾਰ ਕਰਨਾ
Propagation,ਪ੍ਰਚਾਰ
Proper,"ਉਚਿਤ, ਠੀਕ-ਠੀਕ"
Property,"ਸੰਪੱਤੀ, ਸਾਜ-ਸਮਾਨ"
Proposal,"ਪ੍ਰਸਤਾਵ, ਪ੍ਰਸਥਾਪਨਾ"
Propose,"ਪ੍ਰਸਤਾਵ ਕਰਨਾ, ਪ੍ਰਸਤਾਵ ਰਖਣਾ"
Propound,ਪ੍ਰਤਿਪਾਦਨ ਕਰਨਾ
Proprietary,"ਮਾਲਕੀ, ਮਲਕੀਅਗੀ, ਇਕ ਦੇ ਅਧਿਕਾਰ ਵਿਚ"
Propriety,"ਉਪਯੂਕਤਤਾ, ਉਚਿਤਤਾ"
Pro-rata,ਅਨੁਪਾਤ ਦੇ ਅਨੁਸਾਰ
Pro-rata quota,ਅਨੁਪਾਤ ਅਨੁਸਾਰ ਕੋਟਾ
Prorogue,"ਸਤ੍ਰ ਵਿਸਰਜਿਤ ਕਰਨਾ, ਸਥਗਿਤ ਕਰਨਾ"
Pros and cons,"ਪਖ ਵਿਪੱਖ, ਅੱਗਾ-ਪਿੱਛਾ"
Proscribe,ਵਿਵਰਜਿਤ ਕਰਾਰ ਦੇਣਾ
Prosecution,ਮੁਕੱਦਮਾ ਚਲਾਉਣਾ
Prospectus,ਵਿਵਰਣ ਪਤ੍ਰਿਕਾ
Protempore appointment,ਅਲਪਕਾਲੀ ਨਿਯੁਕਤੀ
Protocol,"ਸਿਸ਼ਟਾਚਾਰ, ਪ੍ਰਟੋਕੋਲ, ਸੰਦੇਸ਼ ਆਚਾਰ(ਕੰਪ)"
Prove,"ਸਾਬਿਤ ਕਰਨਾ, ਸਬੂਤ ਦੇਣਾ"
Provided,"ਬਸ਼ਰਤੇ, ਐਪਰ, ਨਿਰਦਿਸ਼ਟ"
Provident fund,ਭਵਿੱਖ ਨਿਧੀ
Provision,ਵਿਵਸਧਾ ਸ਼ਰਤ
Provisional,"ਆਰਜੀ, ਅਸਥਾਈ"
Provisional list,ਆਰਜੀਸੂਚੀ
Proviso,"ਸ਼ਰਤੀਵਾਕ, ਉਪਬੰਧ"
Proximity,"ਨਿਕਟਤਾ, ਸਮੀਪਤਾ, ਨੇੜ"
Proxy,"ਸੁਖਤਾਰ ਨਾਮਾ, ਪਰੋਖੀ(ਪ੍ਰਾਕਸ਼ਿ)"
Public,"ਜਨਤਾ, ਪਬਲਿਕ, ਆਮ ਲੋਕ, ਪਰਜਾ, ਸਰਵਜਨਿਕ, ਸਰਕਾਰੀ"
Publication,ਪ੍ਰਕਾਸ਼ਨ
Public duty,ਸਰਕਾਰੀ ਡਯੂਟੀ
Public interest litigation (PIL),"ਜਨਹਿਤ ਵਾਦ, ਲੋਕਹਿਤ ਵਾਦ"
Publicity,ਪ੍ਰਚਾਰ
Publish,ਪ੍ਰਕਾਸ਼ਿਤ ਕਰਨਾ
Punctual,"ਸਮੇਂ ਦਾ ਪਾਬੰਦ, ਵੇਲੇ ਸਿਰ"
Punishment,"ਦੰਡ, ਸਜਾ"
Purchase,"ਖਰੀਦ, ਖਰੀਦਣਾ"
Purely temporary,ਪੂਰੀ ਤਰ੍ਹਾਂ ਅਸਥਾਈ
Purpose,"ਮੰਤਣ, ਪ੍ਰਯੋਜਨ"
Pursue,ਪਿੱਛੇ ਲੱਗੇ ਰਹਿਣਾ
Pursuit,"ਕੰਮ ਕਾਜ, ਖੋਜ, ਪਿੱਛਾ"
Purview,"ਖੇਤਰ, ਕਾਰਜ ਖੇਤਰ"
Put up,ਪ੍ਰਸਤੁਤ ਕਰਨਾ
Put-up slip,ਪੇਸ਼ ਪਰਚੀ
Qualification,ਯੋਗਤਾ
Qualified candidate,"ਯੋਗਤਾ ਪ੍ਰਾਪਤ ਉੱਮੀਦਵਾਰ, ਯੋਗ ਉੱਮੀਦਵਾਰ"
Qualify,ਯੋਗਤਾ ਪ੍ਰਾਪਤ ਕਰਨਾ
Qualifying examination,ਯੋਗਤਾ ਪਰੀਖਿਆ
Qualifying test,ਯੋਗਤਾ ਪਰੀਖਣ
Qualitative techniques,ਗੁਣਾਤਮਕ ਤਕਨੀਕ
Quality,"ਗੁਣ, ਵਿਸ਼ੇਸਤਾ, ਕੋਟੀ, ਪ੍ਰਕਾਰ"
Quality control,ਗੁਣ ਨਿਯੰਤਰਣ
Quantity,"ਮਾਤਰਾ, ਪਰਿਮਾਣ, ਰਾਸ਼ੀ"
Quarantine leave,ਸੰਗਰੋਧ ਛੁੱਟੀ
Quarterly,ਤਿਮਾਹੀ
Quash,ਮੰਸੂਖ ਕਰਨਾ
Quasi,ਅੱਧ
Quasi-permanency,ਅੱਧ ਸਥਾਈ ਪੁਣਾ
Query,"ਪੁੱਛ-ਗਿੱਛ ਪ੍ਰਸ਼ਨ(ਸਵਾਲ), ਪ੍ਰਸ਼ਨਚਿੰਨ"
Question,"ਪ੍ਰਸ਼ਨ, ਸਵਾਲ"
Questionable,"ਸ਼ੰਕਾ ਯੋਗ, ਪ੍ਰਸਨ ਯੋਗ, ਸਵਾਲੀਆ"
Question hour,ਪ੍ਰਸ਼ਨਕਾਲ(ਸਵਾਲ ਸਮਾਂ)
Questionnaire,"ਪ੍ਰਸ਼ਨਾਵਲੀ, ਸਵਾਲਨਾਮਾ"
Quit,"ਛੈਡਣਾ, ਤਿਅਗਣਾ"
Quorum,ਕੋਰਮ
Quota,ਕੋਟਾ
Quotation,"ਭਾਅ, ਦਰ, ਦਰਸੂਚੀ, ਕੋਟੇਸ਼ਨ"
Quote,"ਹਵਾਲਾ, ਉੱਦਾਹਰਣ, ਦਰ ਦੱਸਣਾ"
Race,"ਨਸਲ, ਦੌੜ੍ਹ, ਹੋੜ੍ਹ"
Racial discrimination,ਨਸਲੀ ਭੇਦ
Rack,ਰੈਕ
Raid,"ਛਾਪਾ, ਛਾਪਾ ਮਾਰਨਾ, ਧਾਵਾ, ਧਾਵਾ ਬੌਲਣਾ"
Railway,"ਰੇਲ ਮਾਰਗ, ਰੇਲਵੇ, ਰੇਲ"
Raise (pay),ਵੇਤਨ ਵਾਧਾ
Random,"ਬੇਤਰਤੀਬੀ, ਅਨਿਯਮਿਤ"
Random sampling,ਬੇਤਰਤੀਬੀ ਨਮੂਨਾ
Range,"ਹੱਦ, ਦਾਇਰਾ, ਚਾਂਕਮਾਰੀ, ਰੇਂਜ"
Rank,"ਰੁਤਬਾ, ਪਦਵੀ, ਸ਼੍ਰੇਣੀ, ਪੰਕਤੀ"
Rank and file,ਜਨਸਾਧਾਰਣ
Ranking,ਸ਼ੇਣੀਕਰਣ
Rapid action force (RAF),ਛੇਤੀ ਕਾਰਵਾਈ ਬਲ(ਆਰ.ਏ.ਏਫ)
Rare,"ਦੁਰਲੱਭ, ਵਿਰਲਾ"
Rash,"ਉਤਾਵਲਾ, ਅੰਧਾਧੁੰਧ"
Ratable value,ਕਰ ਯੋਗ ਮੁੱਲ
Rate,"ਦਰ, ਰੇਟ, ਗਤੀ, ਸਥਾਨਕ ਸਮੂਲ"
Rate contract,"ਦਰ ਸੰਵਿਦਾ, ਦਰ ਠੇਕਾ"
Rate list,ਦਰ ਸੂਚੀ
Ratification,"ਪੁਸਟੀ ਕਰਨਾ, ਪ੍ਰਮਾਣਿਤ ਕਰਨਾ"
Rating,"ਕੋਟੀ ਨਿਰਮਾਰਣ, ਦਰ ਨਿਰਧਾਰਣ, ਨਿਰਧਾਰਣ, ਮਸ਼ੀਨ ਦਾ ਮੂਲਾਂਕਣ"
Ratio,ਅਨੁਪਾਤ
Ration,"ਰਾਸ਼ਨ, ਰਸ਼ਦ, ਭੋਜਨ ਸਾਮਗ੍ਰੀ"
Rational,ਯੁਕਤੀ ਸੰਗਤ
Rationalization,ਯੁਕਤੀ ਕਰਣ
Ration allowance,ਰਾਸ਼ਨਭੱਤਾ
Raw material,ਕੱਚਾ ਮਾਲ
Raw product,ਕੱਚਾ ਉਤਪਾਦ
Reaction,ਪ੍ਰਤਿਕ੍ਰਿਆ
Reading,"ਵਾਚਣ, ਪਠਨ, ਪੜ੍ਹਤ"
Readjust,ਪੁਨਰ ਸਮਾਯੋਜਿਤ ਕਰਨਾ
Ready-made plan,ਬਣੀ ਬਨਾਈ ਯੋਜਨਾ
Ready reckoner,ਰੇਡੀ ਰਕਨਰ
Real,"ਵਾਸਤਵਿਕ, ਅਸਲੀ, ਯਥਾਰਥ"
Real earning,ਅਸਲੀਕਮਾਈ
Real estate,ਅਚੱਲ ਸੰਪੱਤੀ
Reality,"ਯਥਾਰਥ, ਵਾਸਤਵਿਕ, ਅਸਲੀਅਤ"
Realization,"ਵਸੂਲੀ, ਅਹਿਸਾਸ"
Realize,"ਵਸੂਲ ਕਰਨਾ, ਉਗਾਹਿਣਾ, ਅਨੁਭਵ ਕਰਣਾ, ਮਹਸੂਸ ਕਰਨਾ"
Reappointment,ਪੁਨਰ ਨਿਯੁਕਤੀ
Reappropriation,ਪੁਨਰ ਨਿਅਜਨ
Reason,"ਕਾਰਣ, ਤਰਕ"
Reassessment,ਪੁਨਰ ਨਿਰਧਾਰਣ
Rebate,"ਛੂਟ, ਕਟੌਤੀ"
Recall,"ਵਾਪਿਸ ਮੰਗਣਾ, ਵਪਿਸ ਬੁਲਾਣਾ"
Recede,"ਪਿੱਛੇ ਹਟਣਾ, ਘਰ ਕਰਣਾ"
Receipt,"ਪਾਪਤੀ, ਪ੍ਰਾਪਤੀ ਪੱਤਰ, ਆਮਦਨੀ, ਰਸੀਦ, ਵਸੂਲੀ"
Receipt book,ਰਸੀਦ ਵਹੀ
Receipts and disbursements,ਪ੍ਰਾਪਤੀਆਂ ਤੇ ਅਦਾਇਗੀਆਂ
Receive,"ਪ੍ਰਾਪਤ ਕਰਨਾ, ਲੈਣਾ, ਸੁਆਗਤ ਕਰਨਾ"
Receiver,"ਪਾਣ ਵਾਲਾ, ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ, ਰਿਸੀਵਰ"
Recent,"ਨਵਾਂ, ਹਾਲ ਹੀ ਦਾ, ਮੌਜੂਦਾ, ਹੁਣੇ ਹੁਣੇ ਦਾ"
Reception,"ਸੁਆਗਤ, ਸੁਆਗਤ-ਸਤਕਾਰ, ਸੁਆਗਤ ਸਾਮਰੋਹ"
Receptive,"ਗ੍ਰਹਣਸ਼ੀਲ, ਸੁਗ੍ਰਹਿਕ"
Recess,"ਵਿਸ਼ਰਾਮ, ਛੁੱਟੀ"
Recipient,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ
Reciprocal,"ਪਰਸਪਰ, ਹੁਬਹੂ, ਦੋਤਰਫਾ"
Reciprocal demand,ਪਰਸਪਰ ਮੰਗ
Reciprocate,ਅਦਲਾਬਦਲੀ ਕਰਨੀ
Reciprocity,"ਆਪਸਦਾਰੀ, ਪਰਸਪਰਤਾ"
Reckless,"ਲਾਪਰਵਾਹ, ਉਤਾਵਲਾ, ਅੰਧਾਧੂੰਧ"
Reckon,"ਗਿਣਤੀ ਕਰਨਾ, ਹਿਸਾਬ-ਕਿਤਾਬ ਕਰਨਾ"
Reckonable service,ਹਿਸਾਬ-ਕਿਤਾਬ ਦੀਆਂ ਸੇਵਾਵਾਂ
Reclamation,"ਉੱਧਾਰ, ਉਪਜਾਊ ਬਣਾਨਾ(ਜਮੀਨ)"
Recognition,"ਪਛਾਣ, ਸਨਾਖਤ, ਮਾਨਤਾ"
Recognized,ਮਾਨਤਾ ਪ੍ਰਾਪਤ
Recollect,ਯਾਦ ਕਰਨਾ
Recommend,ਸਿਫਾਰਿਸ਼ ਕਰਨਾ
Recommendation,ਸਿਫਾਰਿਸ਼
Recommendatory letter,ਸਿਫਾਰਿਸੀ ਪੱਤਰ
Reconcile,"ਸਮਾਧਾਨ ਕਰਨਾ, ਸਮਾਧਾਨ ਕਰਾਉਣਾ, ਮੇਲ ਮਿਲਾਪ ਕਰਨਾ, ਮੇਲ ਮਿਲਾਪ ਕਰਾਉਣਾ"
Reconciliation,"ਸਮਾਧਾਨ, ਮੇਲਮਿਲਾਪ, ਸੁਲਹ"
Reconsideration,(ਲੇਖਾ) ਪੁਨਰ ਵਿਚਾਰ
Reconstitution,ਪੁਨਰ ਗਠਨ
Reconstruction,ਪੁਨਰ ਨਿਰਮਾਣ
Reconstruction of file,ਫਾਈਲ ਦੀ ਪੁਨਰ ਰਚਨਾ
Record,"ਦਸਤਾਵੇਜ, ਰਿਕਾਰਡ, ਕੀਰਤੀਮਾਨ, ਅਭੀਲੇਖ ਬੱਧ ਕਰਨਾ, ਦਰਜ ਕਰਨਾ"
Record book,"ਰਿਕਾਰਡ ਰਜਿਸਟਰ, ਪਰਣਾਮੀਤ ਲਿਖਿਤ"
Record of service,"ਸੇਵਾ ਰਿਕਾਰਡ, ਸੇਵਾ ਅਭੀਲੇਖ"
Recourse,"ਆਸਰਾ, ਸਹਾਰਾ, ਪਨਾਹ, ਵਸੂਲੀ ਅਧਿਕਾਰ"
Recover,"ਵਸੂਲ ਕਰਨਾ, ਬਰਾਮਦ ਕਰਨਾ, ਸਵਸਥ ਹੋਣਾ"
Recovery,"ਵਸੂਲੀ, ਬਰਾਮਦਗੀ, ਪੁਨਰ ਪ੍ਰਾਪਤੀ, ਪ੍ਰਤਿਫਲ ਪ੍ਰਾਪਤ ਕਰਨਾ, ਸੇਹਤ-ਲਾਭ"
Recreation,"ਮਨੋਰੰਜਨ, ਵਿਨੋਦ, ਮਨ-ਬਹਿਲਾਣਾ"
Recruit,"ਭਰਤੀ ਕਰਨਾ, ਰੰਗਰੂਟ"
Recruiting authority,"ਭਰਤੀ-ਅਧਿਕਾਰੀ, ਭਰਤੀ ਪ੍ਰਧਿਕਾਰੀ"
Recruitment,ਭਰਤੀ
Recruitment rules,ਭਰਤੀ ਨਿਯਮ
Rectification,"ਸੋਧਣਾ, ਸੁਧਾਰਨਾ"
Recurring,"ਆਵਰਤੀ, ਆਵਰਤਕ"
Redeem,"ਛਡਵਾਉਣਾ, ਪੁਨਰ ਪ੍ਰਾਪਤ ਕਰਨਾ"
Redemption,"ਛੁਟਕਾਰਾ, ਛੁਡਵਾਉਣਾ"
Redirected,ਫਿਰਤੌ ਭੇਜਨਾ
Redress,"ਸੁਧਾਰਨਾ, ਨਿਵਾਰਣ, ਨਿਵਾਰਣ ਕਰਨਾ, ਦੂਰ ਕਰਨਾ"
Redressal,ਨਿਵਾਰਣ
Red-tapism,ਲਾਲਫੀਤਾਸ਼ਾਹੀ
Reduction,"ਕਮਾਂ, ਛੂਟ"
Redundant,"ਫਜੂਲ, ਗੈਰਜਰੂਰੀ"
Re-employment,"ਪੁਨਰ ਨਿਯੁਕਤੀ, ਪੁਨਰ ਨਿਯੋਜਨ"
Re-entry,"ਪੁਨਰ, ਪ੍ਰਵੇਸ਼"
Refer,"(ਸੰਦਰਭ) ਵੇਖਯਾ ਸੰਦਰਭ ਦੇਣਾ, ਉੱਲੇਖ ਕਰਨਾ, ਦੇ ਬਾਰੇ ਦੱਸਣਾ"
Reference,"ਸੰਦਰਭ, ਹਵਾਲਾ, ਨਿਰਦੇਸ਼"
Referral,"ਅਭੀਨਿਰਦੇਸ਼, ਅਭੀ ਨਿਰਦੇਸ਼ਨ"
Refixation of pay,ਵੇਤਨ ਨੂੰ ਪੁਨਰ ਨਿਯਤਕਰਨਾ
Reform,"ਸੁਧਾਰ, ਸੁਧਾਰਨਾ, ਸੁਧਾਰ ਕਰਨਾ"
Refrain from,"ਵਿਰਤ ਰਹਿਣਾ(ਕਨੂੰਨੀ), ਨਾ ਕਰਣਾ"
Refreshment,"ਜਲਪਾਨ, ਉਪ-ਆਹਾਰ, ਨਾਸਤਾ"
Refund,ਰਕਮ ਮੋੜਨੀ
Refundable,"ਵਾਪਸ ਦੇਣ ਯੋਗ, ਮੋੜਣਯੋਗ"
Refusal,"ਇਨਕਾਰ, ਅਸਵੀਕਾਰ ਕਰਨ ਯੋਗ"
Refuse,"ਇਨਕਾਰ ਕਰਨਾ, ਅਸਵੀਕਾਰ ਕਰਨਾ"
Refused leave,ਅਸਵੀਕ੍ਰਿਤ ਛੁੱਟੀ
Refutation,ਖੰਡਨ
Regard,"ਮਾਨ ਕਰਨਾ, ਸਤਿਕਾਰ ਕਰਨਾ, ਮੰਨਣਾ, ਸਮਝਣਾ, ਨਾਲ ਸੰਬੰਧ ਰਖਣਾ"
Region,"ਪ੍ਰਦੇਸ਼, ਇਲਾਕਾ"
Regional,"ਖੇਤਰੀ, ਪ੍ਰਾਦੇਸ਼ਿਕ"
Register,"ਰਜਿਸਟਰ, ਲੇਖ ਬੱਧ ਕਰਨਾ, ਅੰਦਰਾਜ ਕਰਨਾ, ਪੰਜੀਕਿਤ ਕਰਨਾ"
Registered,ਪੰਜੀਕ੍ਰਿਤ
Registered office,ਪੰਜੀਕ੍ਰਿਤ ਦਫਤਰ
Registering authority,ਪੰਜੀਕਰਨ ਅਧਿਕਾਰੀ
Registrtion fee,"ਰਜਿਸਟਰ ਕਰਨ ਦੀ ਫੀਸ, ਅੰਦਰਾਜ ਫੀਸ"
Registration form,"ਰਜਿਸਟਰੀ-ਫਾਰਮ, ਰਜਿਸਜਰੀ ਪੱਤਰ"
Registry,"ਰਜਿਸਟਰੀ, ਰਜਿਸਟਰੀ ਦਫਤਰ"
Regret,"ਖੇਦ, ਖੇਦ ਪ੍ਰਗਟ ਕਰਨਾ, ਅਫਸੋਸ ਕਰਨਾ"
Regrouping,ਪੁਨਰ ਵਰਗੀਕਰਣ
Regular,"ਨਿਯਮਿਤ, ਨਿਯਮ ਬੱਧ"
Regular cadre,ਨਿਯਮਿਤ ਵਰਗ
Regularization,"ਨਿਯਮਿਤ ਕਰਨਾ, ਨਿਸ਼ਮ ਬੰਧਨ"
Regular service,ਨਿਯਮਿਤ ਸੇਵਾ
Regulations,ਰੈਗੂਲੇਸ਼ਨ
Rehabilitation,"ਪਨਰਵਾਸ, ਪੁਨਰ ਸਥਾਪਨ, ਮੁੜ ਵਸੇਬਾ"
Rehearsal,ਪੁਨਰ ਅਭਿਆਸ
Reimburse,"ਮੁਵ ਭਰਨਾ, ਅਦਾ ਕਰਨਾ"
Reinstate,"ਬਹਾਲ ਕਰਨਾ, ਪੁਨਰ ਸਥਾਪਿਤ ਕਰਨਾ"
Reiterate,"ਦੁਹਰਾਉਣਾ, ਬਾਰ ਬਾਰ ਕਹਿਣਾ"
Reject,ਅਸਵੀਕਾਰ ਕਰਨਾ
Rejection,"ਸਵੀਕ੍ਰਿਤੀ, ਅਸਵੀਕਾਰ"
Rejoinder,"ਪ੍ਰਤਿ-ਉੱਤਰ, ਮੋਵਣਾਂ ਉਤੱਰ"
Relation,ਸੰਬੰਧ
Relative,"ਸੰਬੰਧੀ, ਰਿਸ਼ਤੇਦਾਰ, ਸਾਪੇਖ"
Relative valuation,"ਸਾਪੇਖ, ਮੂਲਾਂਕਣ"
Relaxation,"ਢਿੱਲ, ਸੁਸਤੀ, ੳਲਸਾਹਟ, ਵਿਸ਼੍ਰਾਮ, ਸ਼ਿਥਿਲੀਕਰਨ"
Relaxation of rules,ਨਿਯਮਾਂ ਵਿਚ ਢਿੱਲ
Release,"ਆਜ਼ਾਦ ਕਰਨਾ, ਰਿਹਾਈ, ਛੁਟਕਾਰਾ, ਪ੍ਰਕਾਸ਼ਿਤ ਕਰਨਾ, ਲੋਕ ਅਰਪਣ, (ਰਕਮ) ਦੇ ਦੇਣਾ, ਜਾਰੀ ਕਰਨਾ"
