abatement,অবসান
plinth area,"ভিটাএলাকা, পোতাএলাকা"
policy,"নীতি, বিমাপলিসি"
political,রাজনৈতিক
political activity,রাজনৈতিককর্মকাণ্ড/ক্রিয়াকলাপ
poll,"ভোট, মতগ্রহণ"
pollution,দূষণ
pool,"সারি, পর্যায়, পুল"
portfolio (of a minister),"পত্রকোষ, দপ্তর, পোর্টফোলিও, মন্ত্রাধিকার"
position,"স্থিতি, অবস্থান"
positive,"সদর্থক, হ্যাঁ-সূচক"
post,"ডাক, পদ, স্তম্ভ, স্থান, চৌকি"
post mortem examination,"ময়নাতদন্ত, শবপরীক্ষা"
post-dated,উত্তরতারিখ(প্রদত্ত/অঙ্কিত)
post-facto sanction,ঘটনোত্তরঅনুমোদন
post-graduate,স্নাতকোত্তর
posthumous,মরণোত্তর
posting,"ডাকেদেওয়া, খতিয়ানভুক্তকরণ, বহাল, অধিষ্ঠান"
postpone,"স্থগিতরাখা, মুলতুবিরাখা"
postscript (P.S.),পুনশ্চ
power,"শক্তি, অধিকারী, বিদ্যুৎ"
power of attorney,"মোক্তারনাম, ওকালতনামা"
practicable,"ব্যবহারিক, প্রায়োগিক"
practice,"অভ্যাস, রীতি, আইনব্যবসা, চিকিৎসাব্যবসা"
pre-audit,পূর্বনিরীক্ষা
pre-planned,পূর্বপরিকল্পিত
pre-receipted bill,পূর্বপ্রাপ্তিস্বীকারবিল
precaution,"পূর্বাহ্নিকসতর্কতা, পূর্বাবধান"
precedent,"পূর্বদৃষ্টান্ত, নজির"
precis,"মর্ম, সারাংশ"
precise,"সুনির্দিষ্ট, যথাযথ, স্পষ্ট"
preclude,পূর্বানুমানবলেবাধাদেওয়া/নিবারণকরা
preconception,প্রাকধারণা/পূর্বধারণা
predecessor,পূর্বসূরী
predominant,"প্রধান, প্রবল"
preface,"ভূমিকা, মুখবন্ধ"
prefer,"পছন্দকরা, পেশকরা, উপস্থাপিতকরা"
preferential purchase,"অধিমানীক্রয়, পছন্দক্রমেক্রয়"
prejudice,"হানি, অনিষ্ট, প্রতিকূলতা, পক্ষপাত, অমূলকসংস্কার"
preliminary,প্রারম্ভিক
premature,"কালপূর্ব, অপরিণত"
premises,"গৃহ, ঘর-বাড়ি, বাসস্থান"
premium,"বাড়তিলাভ, বিমারকিস্তি"
prepaid,আগামপ্রদত্ত
prepaid card,আগামপ্রদত্তকার্ড/পত্রী
prepone,পুর্বস্থিরকরা
prerogative,পদলব্ধবিশেষাধিকার
prescribe,"ব্যবস্থাদেওয়া, বিধানদেওয়া"
prescribed,নির্দিষ্টযোগ্যতা
prescribed form,নির্দিষ্টনিদর্শ/ফর্ম
presentation,"উপস্থাপনা, উপহার"
preside,"সভাপতিত্বকরা, কর্তৃত্বকরা"
president,"রাষ্ট্রপতি, সভাপতি"
press,"সংবাদপত্র, মুদ্রাযন্ত্র, ছাপাখানা"
press copy,মুদ্রণ-প্রতিলিপি
press gallery,"পত্রকারগ্যালারি, সাংবাদিকদেরজন্যসংরক্ষিতস্থানবিশেষ"
presumed,কল্পনাকরা
presumptive pay,সম্ভাব্যবেতন
presupposed,পূর্বকল্পিত
pretext,"ওজর, ছুতো, অছিলা"
prevail,প্রচলিতহওয়া
prevent,নিবারণকরা
prevention,নিবারণ
preventive,"নিবারক, নিবর্তন"
price fluctuation (=price movements),"মূল্যহ্রাস-বৃদ্ধি, দরওঠা-নামা"
pricing,মূল্যনির্ধারণ
prima facie,প্রাথমিকভাবে
primarily,প্রাথমিকরূপে
primary,"প্রাথমিক, মূল, মুখ্য"
primary receipt,মূলরসিদপ্রাপ্তি
principal,"প্রধান, মূলধন, অধ্যক্ষ, মালিক"
principal debtor,মূলঋণী
printer,মুদ্রক
printing,মুদ্রণ
prior indication,পূর্বসংকেত
priority grading,অগ্রাধিকারঅনুসারেশ্রেণীকরণ
prison,"জেলখানা, কারা"
prisoner,বন্দী
privacy,একান্ততা
private and confidential,ব্যক্তিগতওগোপনীয়
privilege,"বিশেষাধিকার, সুযোগ-সুবিধা"
privilege committee,অধিকাররক্ষাসমিতি/কমিটি
prize,পুরস্কার
pro-rata,আনুপাতিক
pro-rata quota,আনুপাতিককোটা
probability,সম্ভাব্যতা
probate,ইষ্টিপ্রমাণক
probation,"অবেক্ষা, শিক্ষানবিশি"
probationary,"অবেক্ষাধীন, শিক্ষানবিশ"
probationer,"অবেক্ষাধীন(ব্যক্তি), শিক্ষাধীন(ব্যক্তি)"
probe,"অনুসন্ধান, তদন্ত"
procedural rules,ক্রিয়াবিধিনিয়মাবলী
procedure,"প্রণালী, প্রক্রিয়া, কার্যক্রম"
proceedings,কার্যবিবরণ
process,প্রক্রিয়া
processing,প্রক্রিয়াকরণ
procession,শোভাযাত্রা
proclaim,ঘোষিত
proclamation,ঘোষণা
procurement,"সংগ্রহ, জোগাড়"
product,"উৎপন্নসামগ্রী, ফল"
production,উৎপাদন
profession,"বৃত্তি, পেশা"
professional achievement,পেশাগতঅর্জন/প্রাপ্তি
proficiency certificate,প্রবীণতাপ্রমাণপত্র
profile,পার্শ্বচিত্র
profit,লাভ
programme,"কার্যক্রম, অনুষ্ঠান"
programme schedule,"অনুষ্ঠানসূচি, কার্যক্রম"
programming,কার্যক্রমপ্রণয়ন
progress,অগ্রগতি
progressive,"প্রগতিশীল, বর্ধিষ্ণু"
prohibited,নিষিদ্ধ
prohibited area,নিষিদ্ধএলাকা/অঞ্চল
prohibition,নিষেধ
prohibitory order,নিষেধাজ্ঞা
project,প্রকল্প
projection,প্রক্ষেপণ
prominent,"প্রমুখ্য, প্রধান"
promise,প্রতিশ্রুতি
promissory note (pronote),"বচনপত্র, ঋণপত্র"
promote,"পদোন্নতকরা, উৎসাহদান"
promoter,"প্রবর্তক, উদ্যোক্তা"
promotion,পদোন্নতি
promt,"তৎপর, চটপটে"
promulgate,"জাহিরকরা, ব্যাপকভাবেপ্রচারকরা"
pronounce,"শোনানো, নির্ণয়জানানো"
pronouncement,নির্ণয়শোনানো
proof,"প্রমাণ, সাক্ষ্য, সাবুত"
proof of despatch,প্রেষণপ্রমানপত্র
proof reading,প্রুফসংশোধন/পড়া
propagate,প্রচারকরা
propagation,প্রচার
proper,উচিতসমুচিত
property,সম্পত্তি
proposal,প্রস্তাব
propose,প্রস্তাবরাখা
propound,প্রতিপাদিতকরা
proprietary,"মালিকানা, সম্পত্তিরঅধিকারী"
propriety,"যথাযথতা, মালিকানা"
prorogue,স্থগিতকরা
pros and cons,"পক্ষ-বিপক্ষ, আগে-পিছে"
proscribe,নিষিদ্ধকরা
prosecution,ফৌজদারিমামলা
prospectus,পরিচায়িকা
protempore appointment,স্বল্পকালীননিযুক্তি
protocol,"সরকারিআদব-কায়দা, চুক্তি-খসড়া"
prove,প্রমাণকরা
provided,এইশর্তসাপেক্ষে
provident fund,ভবিষ্য-নিধি
provision,"বিধান, ব্যবস্থা"
provisional,"সাময়িক, অস্থায়ী"
provisional list,অস্থায়ীতালিকা
proviso,অনুবিধি
proximity,নৈকট্য
proxy,প্রতিনিধি
public,জনসাধারণ
public duty,সরকারিদ্বায়িত্ব
public interest litigation (PIL),জনস্বার্থমামলা
