ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
"no profit, no loss",ಲಾಭ ನಷ್ಟಗಳಿಲ್ಲದ
no smoking,ಧೂಮಪಾನ ನಿಷೇಧಿಸಿದೆ
nomenclature,"ಅಭಿಧಾನ, ಕೊಟ್ಟಹೆಸರು, ನಾಮಾವಳಿ"
nominal cost,"ನಾಮ ಮಾತ್ರಬೆಲೆ, ಅತ್ಯಲ್ಪಬೆಲೆ"
nominal value,ನಾಮ ಮಾತ್ರ ಮೌಲ್ಯ
nominate,ನಾಮಕರಣ ಮಾಡು
nomination,ನಾಮಕರಣ
nominee,"ನಾಮಕರಣಿತ, ನಾಮಕರಣಗೊಂಡವ"
non-age,ಅವಯಸ್ಕತೆ
non-contributory,ವಂತಿಗೆ ರಹಿತ
non-essential,ಅಗತ್ಯವಲ್ಲ
non-gazetted,"ನಾನ್ ಗೆಜೆಟೆಡ್, ಪತ್ರಾಂಕಿತವಲ್ಲದ"
non-interest bearing,ಬಡ್ಡಿ ಹೊಂದಿಲ್ಲದಿರುವ
non-judicial,ನ್ಯಾಯಿಕ ವಲ್ಲದ
non-ministrial,ಸಚಿವೇತರ
non-negotiable,ವರ್ಗಾವಣೀಯವಲ್ಲದ
non-official,ಅಧಿಕಾರೇತರ
non-payment,ಸಂದಾಯ ಮಾಡದಿರುವುದು
non-payment certificate,ಸಂದಾಯ ಮಾಡದಿರುವ ಪ್ರಮಾಣ ಪತ್ರ
non-practising allowance,ವೃತ್ತಿನಡೆಸದಿರುವ ಬಗೆಗಿನ ಭತ್ಯ
non-recurring expenditure,ಅನಾವರ್ತಕ ವೆಚ್ಚಗಳು
non-refundable,ಹಿಂದಿರುಗಿಸಲಾಗದ
non-statutory,ಶಾಸನೇತರ
non-taxable income,ಆದಾಯತೆರಿಗೆ ಹಾಕದ ಆದಾಯ
non-technical post,ತಾಂತ್ರಿಕೇತರ ಹುದ್ದೆ
non-traditional,ಅಸಾಂಪ್ರದಾಯಿಕ
non-verbal communication,ಮೌಖಿಕೇತರ ಸಂವಹನ
norm,"ಮಟ್ಟ, ಪ್ರಮಾಣ, ಮಾದರಿ, ಸೂತ್ರ"
normal,"ಸಾಮಾನ್ಯ, ನಿತ್ಯ, ಮಾಮೂಲಾದ"
not applicable (N/A),ಅನ್ವಯಿಸುವುದಿಲ್ಲ
not available (N/A),ಉಪಲಬ್ಧವಿಲ್ಲದ
not negotiable,"ವರ್ಗಾವಣೆ, ಮಾಡಲಾಗದ"
not negotiable instrument,ವರ್ಗಾವಣೀಯ ಲಿಖಿತವಲ್ದ
notable,"ಮಹತ್ವಪೂರ್ಣ, ಉಲ್ಲೇಖನೀಯ, ವಿಶೇಷ ಗಮನಾರ್ಹ"
note,ಟಿಪ್ಪಣಿ
notice,"ಸೂಚನೆ, ಸೂಚನಾಪತ್ರ, ನೋಟೀಸು"
noticeable,"ಉಲ್ಲೇಖನೀಯ, ಗಮನಿಸಬೇಕಾದ"
notification,ಅಧಿಸೂಚನೆ
notified area,ಅಧಿಸೂಚಿತ ಪ್ರದೇಶ
noting and drafting,ಟಿಪ್ಪಣಿ ಮಾಡುವುದು ಮತ್ತು ಕರಡು ತಯಾರಿಸುವುದು
notional pay,ಕಾಲ್ಪಿಕ ವೇತನ
nucleus,"ಕೇಂದ್ರ ಬಿಂದು, ಮೂಲಕೇಂದ್ರ"
null,"ಅಕೃತ, ಕಾನೂನು, ಬಲವಿಲ್ಲದ ಅನೂರ್ಜಿತ"
null and void,"ಅಕೃತ ಮತ್ತು ಶೂನ್ಯ, ಅನೂರ್ಜಿತ ಮತ್ತು ಶೂನ್ಯ"
number,"ಸಂಖ್ಯೆ, ಅಂಕಿ, ನಂಬರು ಕ್ರಮಾಂಕ"
numbering,ಸಂಖ್ಯೆಕೊಡುವುದು
numeral,"ಸಂಖ್ಯಾಂಕ, ಅಂಕ"
oath,"ಪ್ರತಿಜ್ಞೆ, ಆಣೆ, ಪ್ರಮಾಣ"
oath of allegiance,ನಿಷ್ಠ ಪ್ರಮಾಣ ವಚನ
oath of office,"ಪದವಿಪ್ರಮಾಣ ವಚನ, ಅಧಿಕಾರ ಪ್ರಮಾಣ ವಚನ"
obedience,"ವಿಧೇಯತೆ, ಅನುಪಾಲನೆ, ಆಜ್ಞಾಪಾಲನೆ"
obituary,ಮರಣವಾರ್ತೆ
object,"ವಸ್ತು, ಪದಾರ್ಥ, ದ್ರವ್ಯ, ಉದ್ದೇಶ, ಗುರಿ ಆಕ್ಷೇಪಿಸು"
objection,ಅಡ್ಡಿಹಾಕು
objective,"ವಸ್ತುನಿಷ್ಠ ಉದ್ದೇಶ, ವಿಷಯನಿಷ್ಠ"
objects and reasons,ವಸ್ತುಗಳು ಮತ್ತು ಕಾರಣಗಳು
obligatory,"ನಿರ್ಬಂಧಕವಾದ, ಬಾಧ್ಯಕರವಾದ"
obscene,ಅಶ್ಲೀಲ
obscene gesture,"ಅಶ್ಲೀಲ-ಸೂಚನೆ, ಸಂಕೇತ, ಸನ್ನೆ"
observer,ಪರಿವೀಕ್ಷಕ
obsolete,"ಬಳಕೆ ತಪ್ಪಿದ, ಅಪ್ರಚಲಿತ, ರೂಢಿಯಲ್ಲಿಲ್ಲದ"
obstruction,"ಅಡ್ಡಿ, ಆತಂಕ, ತಡೆ"
obvious,"ವ್ಯಕ್ತ, ಸ್ಪಷ್ಟ, ಸ್ವತಃಸಿದ್ಧ"
occasional,"ಸಾಂದರ್ಭಿಕ, ಕ್ವಚಿತ್"
occupancy,"ಸ್ವಾಧೀನ, ಅನುಭೋಗ"
occupant,"ಅನು ಭೋಗಿ, ಅನುಭವದಾರ"
occupation,"ವೃತ್ತಿ, ಉದ್ಯೋಗ, ಕಸಬು ಸ್ವಾಧೀನಾನುಭವ, ಅನುಭೋಗ"
occupy,"ವಶಪಡಿಸಿಕೋ, ಸ್ವಾಧೀನ ಪಡಿಸಿಕೋ"
octroi duty,"ಆಕ್ಟ್ರಾಯ್ ಸುಂಕ, ಉಕ್ಕಡ ಸುಂಕ"
off day,ರಜಾ ದಿನ
off duty,"ಕೆಲಸದ ನಂತರ, ಕೆಲಸದ ಮೇಲಿಲ್ಲದಿರುವುದು"
off the record,"ದಾಖಲೆಗೆ ಸೇರುವಂಥದಲ್ಲ, ದಾಖಲೆಯ ಹೊರಗೆ"
offensive,"ಮನನೋಯಿಸುವ, ಅಪಮಾನಕರ, ರೇಗಿಸುವ, ಅಸಹ್ಯ"
offer,"ಕೊಡುಗೆ, ಪ್ರಸ್ತಾಪ, ಸೂಚನೆ ಮಂಡನೆ, ಒಪ್ಪಿಸು"
offer of appointment,ನೇಮಕಾತಿಯ ಪ್ರಸ್ತಾಪ
office,"ಕಛೇರಿ, ಕಾರ್ಯಾಲಯ"
office of profit,ಲಾಭದ ಹುದ್ದೆ
official,ಅಧಿಕೃತ
official duty,ಅಧಿಕೃತ ಕರ್ತವ್ಯ
official language,ಆಡಳಿತ ಭಾಷೆ
official report,ಅಧಿಕೃತ ವರದಿ
official version,"ಅಧಿಕೃತ ರೂಪಾಂತರ, ಹೇಳಿಕೆ, ವರದಿ, ಪಾಠಾಂತರ"
officialdom,"ಅಧಿಕಾರಿ ವರ್ಗ, ಅಧಿಕಾರಶಾಹಿ"
officialese,ಕಛೇರಿಯ ಭಾಷೆ
officially,ಅಧಿಕೃತವಾಗಿ
officiating,"ಕಾರ್ಯವಾಹಿ, ಸ್ಥಾನಾಪನ್ನ"
okay (O.K.; okey),ಎಲ್ಲವೂ ಸರಿ
ombudsman,ಲೋಕಪಾಲ
on account grant,"ಲೇಖಾಗತ ಅನುದಾನ, ಖಾತಾ ಅನುದಾನದ ಮೇಲೆ"
on demand,ಕೇಳಿದಕೂಡಲೇ
on duty,ಕರ್ತವ್ಯದಮೇಲೆ
on line,"ಲೈನ್ ಮೇಲೆ, ಆನ್ ಲೈನ್ (ಗಣಕಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ)"
on the job training,ವೃತ್ತಿ ತರಬೇತಿಯ ಮೇಲೆ
on-special duty,ವಿಶೇಷ ಕರ್ತವ್ಯದ ಮೇಲೆ
one sided,ಏಕಪಕ್ಷೀಯ
onus,"ಭಾರ, ಹೊರೆ, ಕರ್ತವ್ಯ, ಜವಾಬ್ದಾರಿ"
open day,"ಮುಕ್ತದಿನ, ಕೆಲಸದ ದಿನ"
open learning,ಬಹಿರಂಗ ಕಲಿಕೆ
open letter,ಬಹಿರಂಗ ಪತ್ರ
open system,ಮುಕ್ತ ಪದ್ಧತಿ
open university,ಮುಕ್ತ ವಿಶ್ವವಿದ್ಯಾನಿಲಯ
opening,"ತೆರವು, ಹಾದಿ, ಅವಕಾಶ, ಉದ್ಘಾಟನೆ, ಪ್ರಾರಂಭದ"
opening balance,ಆರಂಭ ಶಿಲ್ಕು
opening hours,"ಆರಂಭ ಸಮಯ, ತೆರೆದಿರುವ ಸಮಯ"
operating cost,ಕಾರ್ಯಾಚರಣೆಯ ವೆಚ್ಚ
operating staff,ಕಾರ್ಯಾಚರಣೆಯ ಸಿಬ್ಬಂದಿ
operation,"ಕಾರ್ಯಾಚರಣೆ, ಕಾರ್ಯನಿರ್ವಹಣೆ, ಶಸ್ತ್ರ ಚಿಕಿತ್ಸೆ"
operative,"ಪ್ರವರ್ತನೆಯಲ್ಲಿರುವ, ಚಾಲನೆಯಲ್ಲಿರುವ, ಜಾರಿಯಲ್ಲಿರುವ"
opinion,"ಅಭಿಪ್ರಾಯ, ಅಭಿಮತ"
opposition,"ವಿರೋಧ, ವಿರೋಧ ಪಕ್ಷ"
option,"ಆಯ್ಕೆ, ಇಚ್ಛೆ, ಆಯ್ಕೆಯ ಸ್ವಾತಂತ್ರ್ಯ"
oral,"ಮೌಖಿಕ, ಬಾಯಿಮಾತಿನ"
order,"ಆದೇಶ, ಕ್ರಮ, ವ್ಯವಸ್ಥೆ, ಪಾಳಿ, ಪದ್ಧತಿ ಶ್ರೇಣಿ"
order cheque,ಆದೇಶ ಚೆಕ್ಕು
order of reservation,ಮೀಸಲಾತಿ ಕ್ರಮ
ordinance,"ಸುಗ್ರೀವಾಜ್ಞೆ, ಅಧ್ಯಾದೇಶ"
organization,"ಸಂಸ್ಥೆ, ವ್ಯವಸ್ಥೆ, ಸಂಘಟನೆ"
organization chart,"ಸಂಸ್ಥೆಯ ಚಾರ್ಟು, ತಖ್ತೆ, ನಕ್ಷೆ"
organizer,"ವ್ಯವಸ್ಥಾಪಕ, ಸಂಘಟಕ"
oriented,"ಹೊಂದಿಕೊಂಡ, ಅಭಿಮುಖವಾದ"
original,"ಮೂಲ, ಆರಂಭದ"
original department,ಮೂಲ ಇಲಾಖೆ
original sale deed,ಮೂಲ ಕ್ರಯಪತ್ರ
ostensible owner,"ಡಾಂಭಿಕ ಮಾಲೀಕ, ತೋರಿಕೆಯ ಒಡೆಯ"
out of court,ನ್ಯಾಯಾಲಯದ ಹೊರಗೆ
out of date,"ಹಳೆಯ, ಅವಧಿ ಮೀರಿದ"
out of order,"ಕ್ರಮತಪ್ಪಿದ, ಅವ್ಯವಸ್ಥೆಯ"
out of print,ದೊರೆಯದ
out of turn,"ಪಾಳಿತಪ್ಪಿದ, ಪಾಳಿತಪ್ಪಿಸಿದ"
out of turn allotment,ಪಾಳಿತಪ್ಪಿಸಿದ ಹಂಚಿಕೆ
outbreak,"ತಲೆದೋರುವುದು, ಪ್ರಾರಂಭವಾಗುವುದು"
outfit allowance,"ಸಜ್ಜು ಭತ್ಯೆ, ಸಮುದಾಯಿ ಭತ್ಯೆ"
outgoing file,ಹೊರಹೋಗುತ್ತಿರುವ ಕಡತ
outgoing member,ಹೊರಹೋಗುತ್ತಿರುವ ಸದಸ್ಯ
outlay,"ವೆಚ್ಚ, ಖರ್ಚು"
outlet,"ಹೊರದಾರಿ, ಹೊರಮಾರ್ಗ"
outline,"ರೂಪುರೇಖೆ, ಸ್ಥೂಲ ವಿವರಣೆ"
outlook,"ದೃಷ್ಟಿಕೋಣ, ಮನೋಭಾವ"
outpost,"ಗಡಿಕಾವಲು, ಗಡಿಠಾಣೆ"
output,ಉತ್ಪಾದನೆ ಹುಟ್ಟುವಳಿ
outright purchase,ಒಮ್ಮೆಗೆ ಖರೀದಿಸುವುದು
outsource,"ಹೊರ ಮೂಲದ, ಹೊರಗುತ್ತಿಗೆ"
outstanding,"ಬಾಕಿನಿಂತಿರುವ, ಅಸಾಧಾರಣ"
over age,"ವಯಸ್ಸುಮೀರಿದ, ಹೆಚ್ಚು ವಯಸ್ಪಾದ"
over-rule,"ತಿರಸ್ಕರಿಸು, ತಳ್ಳಿಹಾಕು, ರದ್ದು ಮಾಡು"
overall,"ಸಮಗ್ರ, ಒಟ್ಟು, ಸಮಸ್ತ"
overall billing,ಹೆಚ್ಚು ನಮೂದಿಸಿ ಬಿಲ್ ಮಾಡುವುದು
overall deficit,"ಒಟ್ಟಾರೆ ಕೊರತೆ, ಸಮಗ್ರಕೊರತೆ"
overcharge,"ಅಧಿಕ ಭಾರ ಹೊರಿಸು, ಹೆಚ್ಚಿನ ಛಾರ್ಜು"
overdue,"ಅವಧಿ ಮೀರಿದ, ಹಳೇಬಾಕಿ"
overestimate,"ಅತಿಯಾಗಿ ಅಂದಾಜಿನ, ಮಿತಿಮೀರಿದ ಅಂದಾಜು"
overhead charge,"ಮೇಲು ವೆಚ್ಚ, ಖರ್ಚು"
overlapping,"ಮೇಲೆ ವ್ಯಾಪಿಸು, ಮೇಲೆ ಪಸರಿಸು"
overriding priority,ಅಧ್ಯಾರೋಹಿ ಆದ್ಯತೆ
oversight,ಕಣ್ತಪ್ಪು
overtime pay,"ಹೆಚ್ಚಿನ ಕಾಲದ, ಅಧಿಕ ಕಾಲದ ವೇತನ"
overvaluation,"ಅಧಿಕ ಮೂಲ್ಯದ, ಹೆಚ್ಚು ಬೆಲೆಕಟ್ಟುವುದು"
ownership,"ಮಾಲೀಕತ್ವ, ಒಡೆತನ"
package,"ಕಟ್ಟು, ಪ್ಯಾಕೇಜ್"
package deal,ಸಮಗ್ರ ವ್ಯವಹಾರ
packing and marking,ಮೂಟೆಕಟ್ಟುವುದುಮತ್ತು ಗುರುತು ಮಾಡುವುದು
packing list,ಮೂಟೆಕಟ್ಟಿದ ಪಟ್ಟಿ
pact,"ಒಪ್ಪಂದ, ಕರಾರು"
paid,"ಸಂದಾಯವಾದ, ಪಾವತಿ ಮಾಡಿದ"
paid up capital,ಸಂದಾಯಿತ ಬಂಡವಾಳ
pamphlet,"ಕಿರುಹೊತ್ತಿಗೆ, ಕರಪತ್ರ"
panel,"(ಹೆಸರುಗಳ)ಪಟ್ಟಿ, ತಜ್ಞಸಮಿತಿ"
paper,"ಹಾಳೆ, ಕಾಗದ, ಲೇಖನ, ಪತ್ರಿಕೆ"
par excellence,ಸರ್ವೋತ್ಕೃಷ್ಟ
par value,ಸಮ ಮೌಲ್ಯ
para,"ಕಂಡಿಕೆ, ಪರಿಚ್ಛೇದ, ವಾಕ್ಯವೃಂದ"
paramount,"ಸರ್ವಶ್ರೇಷ್ಠ, ಪರಮ, ಸರ್ವೋತ್ಕಷ್ಟ"
parent,"ಮೂಲ, ಮಾತೃ, ತಂದೆತಾಯಿ"
parent office,"ಮೂಲಕಛೇರಿ, ಮಾತೃ ಕಛೇರಿ"
parental,ಹೆತ್ತವರ
pari passu,"ಸಮರೂಪ, ಸಮಾನ ಗತಿಯಿಂದ"
parity,"ಸಮತೆ, ಸಾದೃಶ್ಯ, ಸಾಮ್ಯ"
parliament,"ಸಂಸತ್ತು, ಪಾರ್ಲಿಮೆಂಟು"
part,"ಭಾಗ, ತುಣುಕು, ಅಂಗ, ಅವಯವ"
part file,"ಖಂಡ, ಕಡತ, ಭಾಗಶಃ, ಕಡತ, ಪಾರ್ಟ್ ಫೈಲು"
part payment,ಭಾಗಶಃ ಸಂದಾಯ
part-time,"ಅರೆಕಾಲಿಕ, ಅಂಶಕಾಲಿಕ"
partial,"ಆಂಶಿಕ, ಭಾಗಶಃ, ಖಂಡ, ಪಕ್ಷಪಾತದ"
participate,ಭಾಗವಹಿಸು
particular,"ವಿಶೇಷ, ನಿರ್ದಿಷ್ಟ"
particulars,ವಿವರಗಳು
partition,"ವಿಭಾಗ, ವಿಭಜನೆ, ಪಾಲು"
partner,"ಪಾಲುದಾರ, ಭಾಗಸ್ಥ"
partnership deed,ಪಾಲುಗಾರಿಕೆ ಪತ್ರ
party,"ಪಕ್ಷ, ಪಕ್ಷಕಾರ"
pass,"ಅನುಮೋದಿಸು, ಅಂಗೀಕರಿಸು, ಉತ್ತೀರ್ಣನಾಗು, ದಾಟು, ಅಪ್ಪಣೆ ಚೀಟಿ, ಪಾಸು"
passage,"ಮಾರ್ಗ, ದಾರಿ"
password,ಸಂಕೇತ ಶಬ್ದ
patent,"ಸ್ವಾಮ್ಯದ ಸನ್ನದು, ಪೇಟೆಂಟು, ಸ್ಪಷ್ಟ ಏಕಸ್ವಾಮ್ಯ"
patron,"ಪೋಷಕ, ಆಶ್ರಯದಾತ"
pay,"ವೇತನ, ಸಲ್ಲಿಸು, ಪಾವತಿಸು, ಪ್ರತಿ ಫಲ ಕೊಡು"
pay bill,ವೇತನ ಬಿಲ್ಲು
pay certificate,ವೇತನ ಪ್ರಮಾಣ ಪತ್ರ
pay day,"ವೇತನದ ದಿನ, ಬಟವಾಡೆಯ ದಿನ"
pay off,"ಚುಕ್ತಾ ಮಾಡುವುದು, ಸಂದಾಯ ಮಾಡುವುದು, ತೀರಿಸು"
pay order,ಸಂದಾಯದ ಆದೇಶ
pay roll,ವೇತನ ಪಟ್ಟಿ
pay scale,ವೇತನ ಶ್ರೇಣಿ
payee,"ಸಂದಾಯಿತ, ಹಣ ಸ್ವೀಕರಿಸುವವನು"
payer,ಹಣ ಕೊಡುವವನು
payment,"ಸಂದಾಯ, ಬಟವಾಡೆ"
pecuniary,"ಆರ್ಥಿಕ, ಧನಸಂಬಂಧದ, ಹಣದ"
pen down strike,"ಲೇಖನಿ ಸ್ಥಗಿತ ಮುಷ್ಕರ, ಲೇಖನಿ ಮುಷ್ಕರ"
penal,"ದಂಡರೂಪದ, ದಂಡನೀಯ"
penal code,"ದಂಡಸಂಹಿತೆ, ಪೀನಲ್‌ಕೋಡ್"
penal interest,ದಂಡರೂಪದ ಬಡ್ಡಿ
penalize,ದಂಡ ವಿಧಿಸು
penalty,ದಂಡ
pending,"ಬಾಕಿ ಇರುವ, ತೀರ್ಮಾನಕ್ಕೆ ಕಾದಿರುವ, ಇತ್ಯರ್ಥವಾಗದೆ ಇರುವ"
pension,"ಪಿಂಚಣಿ, ವಿಶ್ರಾಂತಿ ವೇತನ"
pension scheme,ಪಿಂಚಣಿ ಪ್ರಾಯೋಜನೆ
pensionable,ನಿವೃತ್ತಿ ವೇತನೇಯ
pensioner,ಪಿಂಚಣಿದಾರ
per annum,"ವಾರ್ಷಿಕ, ಸಾಲಿಯಾನ"
per bearer,ವಾಹಕನ ಮುಲಕ
per capita (=per head),ತಲಾ ಒಬ್ಬನಿಗೆ
per mensem,"ಪ್ರತಿತಿಂಗಳಿಗೆ, ಮಾಹೆವಾರು"
percent,ಶೇಕಡ
perennial,"ಸತತ, ಸದಾಕಾಲ"
perform,"ನೆರವೇರಿಸು, ಮಾಡು, ಪಾಲಿಸು"
performance,"ನೆರವೇರಿಕೆ, ಮಾಡುವಿಕೆ, ಪಾಲನೆ"
period,"ಅವಧಿ, ಕಾಲಾವಧಿ, ಗಡು, ಕಾಲಮಾನ"
period under review,ಪರಿಶೀಲನೆಯಲ್ಲಿರುವ ಕಾಲಾವಧಿ
periodical,ನಿಯತಕಾಲಿಕ
perjury,"ಕೂಟ ಸಾಕ್ಷ್ಯ, ಸುಳ್ಳು ಪ್ರಮಾಣ ಮಾಡುವುದು"
perks,"ಅನುಲಬ್ಧಿಗಳು, ವಿಶೇಷ ಸೌಲಭ್ಯಗಳು"
permanent,"ಶಾಶ್ವತ, ಖಾಯಂ, ಸ್ಥಿರ"
permissible,ಅನುಮತಿಸಬಹುದಾದ
permission,ಅನುಮತಿ
permit,"ಅನುಮತಿಸು, ಅನುಮತಿ ಪತ್ರ, ರಹದಾರಿ"
permitted,ಅನುಮತಿಸಲಾದ
perpetual,"ನಿರಂತರ, ಶಾಶ್ವತ"
perpetuity,"ನಿರಂತರತೆ, ಶಾಶ್ವತತೆ"
perquisites (=perks),"ಪ್ರಾಸಂಗಿಕ ಲಾಭ, ವಿಶೇಷ ಸೌಲಭ್ಯಗಳು, ವೇತನ ಸಂಬಂಧಿ ಸೌಲಭ್ಯಗಳು"
persona non grata,ಅಮಾನ್ಯ ವ್ಯಕ್ತಿ
personal,"ವೈಯಕ್ತಿಕ, ಸ್ವಂತ, ಆತ್ಮೀಯ"
personal assets,ವೈಯಕ್ತಿಕ ಆಸ್ತಿ
personal bond,"ವೈಯುಕ್ತಿಕ ಬಾಂಡು, ಮುಚ್ಚಳಿಕೆ"
personality,ವ್ಯಕ್ತಿತ್ತ್ವ
personnel,"ಸಿಬ್ಬಂದಿ ವರ್ಗ, ನೌಕರ ವರ್ಗ"
personnel policy,"ಕಾರ್ಮಿಕ ನೀತಿ, ಸಿಬ್ಬಂದಿ ನೀತಿ"
perspective,"ದೃಷ್ಟಿಕೋಣ, ಮುನ್ನೋಟ"
persuasion,"ಮನಗಾಣಿಸುವುದು, ಒಪ್ಪಿಸುವುದು"
pertinent,"ಸಮಂಜಸ, ತಕ್ಕ, ಯುಕ್ತ"
perusal,"ಅವಲೋಕನ, ಅವಗಾಹನ"
petition,"ಪ್ರಾರ್ಥನೆ, ಅರ್ಜಿಸಲ್ಲಿಸು, ಮನವಿ ಮಾಡಿಕೊ"
petitioner,"ಫಿರ್ಯಾದಿ, ದೂರುದಾರ"
phase,ಹಂತ
photograph,ಭಾವಚಿತ್ರ
photostat,"ಛಾಯಾಪ್ರತಿ, ಫೋಟೋಪ್ರತಿ"
physical checking,ದೇಹ ಪರೀಕ್ಷಣೆ
physical defect,ಶಾರೀರಿಕ/ದೈಹಿಕ ಕೊರತೆ
physical education,ದೈಹಿಕ ಶಿಕ್ಷಣ
physical verification,"ವಾಸ್ತವಿಕ ಪರಿಶೀಲನೆ, ರುಜುವಾತು"
physically handicapped,ಅಂಗ ವಿಕಲ
piece rate,"ಚಿಲ್ಲರೆ ದರ, ಬಿಡಿದರ"
piecemeal,"ತುಂಡು-ತುಂಡಾಗಿ, ಸ್ವಲ್ಪ-ಸ್ವಲ್ಪವಾಗಿ"
pilgrim,ಯಾತ್ರಿಕ
pilot programme,"ಮಾರ್ಗದರ್ಶಕ ಕಾರ್ಯಕ್ರಮ, ಪರೀಕ್ಷಾರ್ಥ ಕಾರ್ಯಕ್ರಮ"
PIN (postal index number),ಪಿನ್
place of birth,ಜನ್ಮಸ್ಥಳ
place of work,ಕಾರ್ಯಸ್ಥಳ
placement service,ಸ್ಥಳ ನಿಯೋಜನ ಸೇವೆ
plaintiff,ವಾದಿ
plan,"ನಕ್ಷೆ, ನಕಾಶೆ, ಯೋಜನೆ"
planning,"ಯೋಜನೆ ಹಾಕುವುದು, ಯೋಜನೆ"
plant,"ಸ್ಥಾವರ, ಸ್ಥಾಪಿಸು, ಸಸ್ಯ, ನೆಡು"
player,"ಆಟಗಾರ, ವಾದಕ"
plea,"ನಿರೂಪಣೆ, ಮನವಿ, ವಾದ"
Pleader,"ವಕೀಲ, ಪ್ಲೀಡರು"
plebiscite,ಜನಮತ ಗಣನೆ
pledge,"ಅಡವು, ಒತ್ತೆ, ಗಿರವಿ"
plenary session,"ಪೂರ್ಣಾಧಿವೇಶನ, ಬಹಿರಂಗ ಅಧಿವೇಶನ"
plenipotentiary,ಪೂರ್ಣಾಧಿಕಾರವುಳ್ಳ
plinth area,"ಮೇಲ್ಛಾಯೆ, ಪೀಠ"
policy,"ಕಾರ್ಯನೀತಿ, ವಿಮಾಪತ್ರ"
political,ರಾಜಕೀಯ
political activity,ರಾಜಕೀಯ ಚಟುವಟಿಕೆ
poll,"ಮತದಾನ ಮಾಡು, ಓಟುಕೊಡು"
pollution,ಮಾಲಿನ್ಯ
pool,"ಒಟ್ಟುಗೂಡಿಸು, ಮೊತ್ತ"
portfolio (of a minister),"ವಿಷಯ, ಖಾತೆ, ಅಧಿಕಾರಕ್ಷೇತ್ರ"
position,"ಸ್ಥಿತಿ, ಸ್ಥಾನ, ಅಂತಸ್ತು, ದರ್ಜೆ, ಪದವಿ"
positive,"ನಿಶ್ಚಯಾತ್ಮಕ, ಖಂಡಿತವಾದ, ವಾಸ್ತವ"
post,"ಸ್ಥಾನ, ಹುದ್ದೆ, ಕಂಬ, ಸಮುದಾಯದ, ಅನಂತರ"
post mortem examination,ಮರಣೋತ್ತರ ಶವ ಪರೀಕ್ಷೆ
post-dated,ಮುಂದಿನ ತಾರೀಖಿನ
post-facto sanction,ಘಟನೋತ್ತರ ಮಂಜೂರಾತಿ
posthumous,ಮರಣೋತ್ತರ
posting,"ಸ್ಥಳ ನಿಯುಕ್ತಿ, ನೇಮಕಾತಿ"
postpone,ಮುಂದೂಡು
postscript (P.S.),ಅನಂತರ ಲಿಖಿತ
power,"ಅಧಿಕಾರ, ಶಕ್ತಿ, ವಿದ್ಯುತ್ ಶಕ್ತಿ"
power of attorney,"ಅಧಿಕಾರ ಪತ್ರ, ಮೊಖ್ತಾರು ನಾಮೆ"
practicable,ಕಾರ್ಯಸಾಧ್ಯ
practice,"ಅಭ್ಯಾಸ, ಆಚರಣೆ, ವೃತ್ತಿ, ಉದ್ಯೋಗ"
pre-audit,ಪೂರ್ವ ಲೆಕ್ಕ ಪರಿಶೋಧನೆ
pre-planned,ಪೂರ್ವ ಯೋಜಿತ
pre-receipted bill,ಮುನ್ನ ರಸೀತಿ ಪಡೆದ ಬಿಲ್ಲು
precaution,"ಮುನ್ನೆಚ್ಚರಿಕೆ, ಮುಂಜಾಗರೂಕತೆ"
precedent,ಪೂರ್ವ ನಿದರ್ಶನ
precis,"ಸಾರ, ಸಂಕ್ಷೇಪ, ಸಂಗ್ರಹ, ಸಾರಾಂಶ"
precise,"ನಿಖರ, ಕಟ್ಟುನಿಟ್ಟಿನ, ಖಚಿತ"
preclude,"ಹೊರಗಿಡು, ಅವಕಾಶಕೊಡದಿರು"
preconception,"ಪೂರ್ವ ಕಲ್ಪನೆ, ಪೂರ್ವಾಲೋಚನೆ"
predecessor,"ಪೂರ್ವಾಧಿಕಾರಿ, ಹಿಂದಿನವನು"
predominant,"ಪ್ರಬಲ, ಪ್ರಧಾನ, ಮೇಲುಗೈ"
preface,"ಪ್ರಸ್ತಾವನೆ, ಮುನ್ನುಡಿ"
prefer,"ಮಂಡಿಸು, ಇಷ್ಟಪಡು, ಒಪ್ಪು"
preferential purchase,ಆದ್ಯತಾ ಖರೀದಿ
prejudice,"ಪೂರ್ವಾಗ್ರಹ, ಪೂರ್ವಕಲ್ಪನೆ, ಪಕ್ಷಪಾತ"
preliminary,"ಪ್ರಾರಂಭಿಕ, ಆರಂಭದ"
premature,"ಅಕಾಲಿಕ, ಅಪಕ್ವ"
premises,"ಸ್ಥಾನ, ಸ್ಥಳ, ಪೂರ್ವಪಕ್ಷ ಆವರಣ"
premium,"ವಿಮಾಕಂತು, ಪ್ರೀಮಿಯಂ"
prepaid,ಪೂರ್ವ ಸಂದಾಯಿತ
prepaid card,"ಪೂರ್ವ ಸಂದಾಯಿತ, ಮುಂಚೆ ಪಾವತಿಯಾದ ಕಾರ್ಡ್ ಪತ್ರ"
prepone,"ಹಿಂದೂಡುವುದು, ಹಿಂದಕ್ಕೆಹಾಕು"
prerogative,ವಿಶಿಷ್ಟಾಧಿಕಾರ
