ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
repayable,തിരിച്ചുകൊടുക്കേണ്ട
repeal,"നിരസനം, റദ്ദാക്കൽ"
repeat order,"പുനരാദേശം, വീണ്ടും നല്‍കുന്ന ഉത്തരവ്"
repetitive work,ആവര്‍ത്തിച്ചുള്ള ജോലി
replace,"പുന:സ്ഥാപിക്കുക, മാറ്റി വയ്ക്കുക"
replacement,"പുനഃസ്ഥാപനം, മാറ്റിവയ്ക്കൽ"
replenishment,"പുന:പൂര്‍ത്തി, കുറവ് നികത്തൽ"
report,റിപ്പോര്‍ട്ട്
repository,"ആശ്രയം, ആധാരം, നിധാനം"
representation,"പ്രാതിനിധ്യം, നിവേദനം, വാദം, അഭിവേദനം"
representative,പ്രതിനിധി
reprimand,"ശാസിക്കുക, ഭര്‍ത്സനം"
reprint,"പുനര്‍മുദ്രണം, വീണ്ടും അച്ചടിക്കൽ"
reprisal,പ്രതിശോധം
reproduce,പുനരുത്പാദിപിക്കുക
reproduction,"പുനരുല്‍പ്പാദനം, പ്രത്യുല്‍പാദനം, പ്രതിരൂപം"
republic day,റിപ്പബ്ളിക്ക് ദിനം
repudiate,"തള്ളുക, നിരസിക്കുക, നിരാകരിക്കുക"
repugnant,"പ്രതികൂലം, വിരുദ്ധമായ"
repurchase,പുനഃക്രമം
reputation,"പ്രസിദ്ധി, ഖ്യാതി"
requirement,"അപേക്ഷ, ആവശ്യകത"
requisite,ആവശ്യമായ
requisite information,ആവശ്യപ്പെട്ട വിവരം
requisites,ആവശ്യങ്ങൾ
requisition,"ആവശ്യപ്പെടൽ, അഭ്യര്‍ഥന, അതിഗ്രഹണം"
requisition form,അര്‍ഥനാ ഫോറം
requisition slip,"അര്‍ഥനാ പത്രം, റിക്വസിഷന്‍ സ്ലിപ്പ്"
rescue,രക്ഷാഗൃഹം
research work,"ഗവേഷണ പ്രവൃത്തി, റിസര്‍ച്ച് വര്‍ക്ക്"
resentment,അപ്രസന്നത
reservation,"വച്ചുപോരൽ, സംവരണം, റിസര്‍വേഷന്‍"
reservation fee,റിസര്‍വേഷന്‍ ഫീസ്
reservation of post,തസ്തിക സംവരണം
reserve,"സംവരണം ചെയ്യുക, കരുതല്‍ധനം, കരുതല്‍സേന"
reserve price,റിസര്‍വ് പ്രൈസ്
reserved accommodation,റിസര്‍വ് ചെയ്ത വാസസ്ഥലം
reserved constituency,സംവരണം ചെയ്ത നിയോജകമണ്ഡലം
resettlement,പുനരധിവാസം
reshuffle,"മാറ്റം, അഴിച്ചുമാറ്റം"
residence,"വസതി, താമസസ്ഥലം"
resident,വസിക്കുന്നവന്‍
resident permit,താമസിക്കാനുള്ള അനുമതി
residential,"ആവാസം, നിവാസം"
residential accommodation,"ആവാസ സ്ഥലം, നിവാസ സ്ഥലം"
residential address,താമസ സ്ഥലത്തിന്‍റെ മേൽ വിലാസം
residential quarter,"ആവാസഗൃഹം, നിവാസഭവനങ്ങൾ"
residuary,അവശിഷ്ടം
residuary pension,അവശിഷ്ട പെന്‍ഷന്‍
residuary power,അവശിഷ്ട അധികാരം
resignation,രാജി
resist,"ചെറുക്കുക, പ്രതിരോധിക്കുക"
resolution,പ്രമേയം
respectfully,"ആദരപൂര്‍വം, സാദരം"
respectively,യഥാക്രമം
respondent,"അപ്പീല്‍വാദി, എതിര്‍കക്ഷി"
response,പ്രത്യുത്തരം
responsibility,"ഉത്തരവാദിത്വം, ചുമതല"
responsible,ഉത്തരവാദമുള്ള
responsive,"പ്രതികരിക്കുന്ന, ഉത്തരം പറയുന്ന"
rest house,റസ്റ്റ് ഹൌസ്
restore,"പുനരുദ്ധരിക്കുക, പുതുക്കുക"
restraint,തടസ്സം
restricted,നിയന്ത്രിതമായ
restricted leave,നിയന്ത്രിത അവധി
restriction,നിയന്ത്രണം
result oriented work,പരിണാമോന്മുഖമായ പണി
resume,"സംക്ഷേപം, പുനരാംരംഭിക്കുക"
resummon,പുനരാരംഭം
resumption,"പുനരാരംഭം, തിരിച്ചെടുക്കൽ"
retain,"പ്രതിധാരണം ചെയ്യുക, നിലനിര്‍ത്തുക, കൈവശം വയ്ക്കുക"
retention price,നിലനിര്‍ത്തിയ വില
retired,പെന്‍ഷന്‍പറ്റിയ
retirement,"റിട്ടയര്‍മെന്‍റ്, സേവനവിരാമം, പെന്‍ഷനാകൽ"
retirement benefits,"നിവൃത്തിലാഭം, റിട്ടയര്‍മെന്‍റ് ആനുകൂല്യം"
retiring age,സേവന വിരാമ വയസ്സ്
retiring pension,സേവനവിരാമ പെന്‍ഷന്‍
retrenched staff,പിരിച്ചുവിട്ട ജീവനക്കാര്‍
retrenchment,"കുറവുചെയ്യൽ, ചെലവു ചുരുക്കൽ, പിരിച്ചുവിടൽ"
retroactive pay,പൂര്‍വ വ്യാപിയായ വേതനം
return,"ആദായം, പ്രത്യാഗമനം"
return journey,മടക്കയാത്ര
return of post,മടക്കാത്തപാൽ
revalidation,പുനഃസാധൂകരണം
revaluation,പുനര്‍മുല്യനം
revenue,റവന്യൂ നികുതി
revenue expenditure,റവന്യൂച്ചെലവ്
revenue stamp,റവന്യു സ്റ്റാമ്പ്
reverse,"പ്രതിലോമം, ഉല്‍ക്രമം, വിപര്യാസം"
reverted,"പ്രത്യാവര്‍ത്തിതം, തിരിച്ചയയ്ക്കപ്പെട്ട"
review,"സമീക്ഷ, പുനഃപരിശോധന, റിവ്യൂ നിരൂപണം"
review board,റിവ്യൂ ബോര്‍ഡ്
revise,"പുതുക്കുക, പരിശോധിക്കുക"
revised agenda,പുതക്കിയ കാര്യപരിപാടി
revised budget,പുതുക്കിയ ബജറ്റ്
revised estimate,പുതുക്കിയ എസ്റ്റിമേറ്റ്
revised rules,പുതുക്കിയ ചട്ടങ്ങൾ
revision,"റിവിഷന്‍(നി) പുനരീക്ഷണം, പരിഷ്കരണം"
revision of pay scale,ശമ്പള പരിഷ്കരണം
revival,"പുനരുജ്ജീവനം, പുന:പ്രവര്‍ത്തനം"
revocation,"നിരസനം, ഖണ്ഡനം, പിന്‍വലിക്കൽ(നി)"
revoke,"റദ്ദാക്കുക, പിന്‍വലിക്കുക"
revolution,"പരിക്രമണം, കലാപം, ചുഴല്‍ച്ച"
revolving fund,പരിക്രമിക്കുന്ന നിധി
reward,"പാരിതോഷികം, സമ്മാനം, പ്രതിഫലം"
reward scheme,പാരിതോഷിക പദ്ധതി
right,അവകാശം
rightful claimant,ശരിയായ അവകാശി
rigid,അയവില്ലാത്ത
riot,ലഹള
risk,അപായം
risk purchase,ആപത്തുനേരിടാവുന്ന ക്രയം
rival,"എതിരാളി, ശത്രു"
road mileage,റോഡ് മൈലേജ്
roadways,റോഡ് വേസ്
role,"പങ്ക്, അഭിനയഭാഗം"
roll,"പട്ടിക, നാമാവലി"
roll number,"റോള്നംമ്പര്‍, ക്രമസംഖ്യ"
rolling plan,പ്രവാഹിയായ പദ്ധതി
roster,റോസ്റ്റര്‍
rotation,പരിവര്‍ത്തനം
rough,"പരുപരുത്ത, രൂക്ഷം, അസംസ്കൃത"
rough copy,"ആദ്യപകര്‍പ്പ്, കരടുപകര്‍പ്പ്"
rounding off,"പുര്‍ണാങ്കിതമാക്കുക, പൂര്‍ണസംഖ്യയിലേക്ക് കൊണ്ടുവരിക"
route,"വഴി, പ്രയാണമാര്‍ഗം"
routine,"ദിനചര്യ, സാധാരണമായ"
routine note,"റൂട്ടീന്‍നോട്ട്, ദിനക്കുറിപ്പ്"
routine test,പതിവ് പരിശോധന
royalty,"റോയല്‍ട്ടി, അവകാശപ്പണം, രാജഭോഗം, ലാഭാവകാശം"
rubber stamp,റബ്ബര്‍മുദ്ര
rude,അശിഷ്ടനായ
rule,"റൂൾ, ചട്ടം, നിയമം"
ruler,"ഭരണാധികാരി, റൂളര്‍, റൂള്‍തടി"
rules and regulations,നിയമങ്ങളും വിനിയമങ്ങളും
rules of business,"ബിസിനസ് ചട്ടങ്ങൾ, കാര്യനടത്തിപ്പ് വിവരങ്ങൾ"
ruling,"റൂളിങ്, തീര്‍പ്പ്, വ്യവസ്ഥ"
ruling party,ഭരണ കക്ഷി
rumour,കിംവദന്തി
running staff,"റണ്ണിങ് സ്റ്റാഫ്, യാത്രചെയ്യേണ്ട പണിയിൽ ഉള്ളവര്‍‌"
rural development plan,ഗ്രാമീണ വികസന പദ്ധതി
rural upliftment,ഗ്രാമീണ ഉദ്ധാരണം
rustication,"വിനിഷ്ക്കാസനം, ബഹിഷ്ക്കരിക്കപ്പെടുക"
sabbatical leave,"ശാബേറ്റിക്കൽ അവധി, ശാബത്ത് വര്‍ഷാവധി"
sabotage,അട്ടിമറിപ്രവര്‍ത്തനം
sack,പിരിച്ചുവിടുക
safe,"സേഫ്, പണപ്പെട്ടി, സുരക്ഷിതമായ"
safe custody,സുരക്ഷിത കൈവശം
safeguarding,രക്ഷാവ്യവസ്ഥകൾ
safety,"സുരക്ഷിതത്വം, ഭദ്രത, രക്ഷ"
safety device,സുരക്ഷാ ഉപായങ്ങൾ
safety regulations,സുരക്ഷാ വിനിയമങ്ങൾ
salaried class,ശമ്പളം പറ്റുന്ന വര്‍ഗം
salary,ശമ്പളം
salary cheque,ശമ്പള ചെക്ക്
salary deduction,ശമ്പളക്കിഴിവ്
salary review,ശമ്പള സമീക്ഷ
salary structure,ശമ്പള ഘടന
sale deed,വില്‍പ്പനക്കരാര്‍
sales department,വില്പനവിഭാഗം
sales tax,വില്‍പ്പനനികുതി
salient,"പ്രമുഖമായ, മുഖ്യ, വിശിഷ്ടമായ"
salvage,"നാശരക്ഷണം, ഉദ്ധാരണം, പ്രതിഫലം"
salvage and scrap,നാഗരക്ഷണവും
sample,"സാമ്പിൾ, മാതൃക"
sample checking,സാമ്പിൾ ചെക്കിങ്
sample survey,സാമ്പിള്‍സര്‍വേ
sampling,"സാമ്പ്ളിംഗ്, മാതൃക പരിശോധിക്കൽ"
sanction,"അനുമതി, അനുവാദം"
sanctioned budget,അനുവദിക്കപ്പെട്ട ബജറ്റ്
sanctioned budget estimate,അനുവദിക്കപ്പെട്ട ബജറ്റ് എസ്റ്റിമേറ്റ്
sanctioned project,അനുവദിക്കപ്പെട്ട ബജറ്റ്
