ab initio,"आरंभत, प्रारंभापासून"
procedure,1. प्रक्रिया 2. कार्य-पद्धति
proceedings,"कामकाज, कार्यवृत्ते, कार्यवाही, सभेतील कामकाजाची नोंद"
process,"प्रक्रिया, संस्करण"
processing,संस्करण
procession,मिरवणूक
proclaim,"उद्‌घोषणा करणे, जाहिर करणे"
proclamation,उद्‌घोषणा
procurement,"प्रापण, प्राप्‍त करणे, मिळवणे"
product,"पदार्थ, उत्पादितवस्तू, गुणाकार"
production,"1. उत्पादन, निर्मिति 2. दाखल करणे"
profession,"पेशा, व्यवसाय, उघड कबुली"
professional achievement,व्यावसायीक प्रगती
proficiency certificate,"योग्यता प्रमाणपत्र, दक्षता प्रमाणपत्र"
profile,"रूपरेखा, पार्श्वचित्र, चरित्रात्मक लेख"
profit,"नफा, फायदा, उपयोगी पडणे, हित होणे"
programme,1. कार्यक्रम 2. प्रक्रिया-योजन
programme schedule,"कार्यक्रम विवरण, कार्यक्रम सूची"
programming,कार्यक्रमण
progress,"प्रगती, पुरः सरण, वाढ"
progressive,"उद्‌गामी, पुरोगामी, प्रगतिशील"
prohibited,"मना केलेला, प्रतिषिद्ध, निषिद्ध"
prohibited area,प्रतिबंधित क्षेत्र
prohibition,"प्रतिवेध, दारूबंदी"
prohibitory order,प्रतिबंध आदेश
project,"योजना, प्रकल्प"
projection,"प्रक्षेपण, नकाशा"
prominent,"प्रमुख, ठळक, प्रसिद्ध"
promise,"वचन, अभिवचन, वचन देणे"
promissory note (pronote),"वचन पत्र, वचन-चिठ्ठी"
promote,"(पद) बढ़तीदेणे, पुरस्कार करणे"
promoter,"प्रवर्तक, संस्थापक"
promotion,"पदोन्नतिबढती, पुरस्कार"
promt,"तत्परतेने, लवकर, शीघ्र"
promulgate,"प्रसिद्धकरणे, लागु करणे"
pronounce,1. सांगणे 2. अधि-घोषित करणे 3. उच्चारणे
pronouncement,1. अधिघोषणा 2. उच्चारण
proof,1. प्रमाण 2. पुरावा 3. मुद्रित
proof of despatch,प्रेषणाचा पुरावा प्रेषण प्रमाण
proof reading,मुद्रितवाचन
propagate,"प्रचार करणे, पैदास करणे"
propagation,"प्रचार, प्रसार, पैदास, प्रजावृद्धि"
proper,"उचित, योग्य, खुद्द"
property,1. गुण 2. गुणधर्म 3. मालमत्ता
proposal,1. प्रस्ताव 2. सूचना
propose,1. प्रस्ताव करणे 2. सूचना करणे 3. देऊ करणे
propound,1. विचारार्थ मांडणे 2. प्रतिपादन करणे
proprietary,"मालकी हक्क, मालकत्व"
propriety,औचित्य
prorogue,"सत्रसमाप्‍ती करणे, सत्रसमाप्‍ती होणे"
pros and cons,साधकबाधक मुद्दे
proscribe,1. आक्षिप्‍त ठरवणे 2. बंदी घालणे 3. बहिष्‍कृत करणे
prosecution,"अभियोग, खटला"
prospectus,"निर्देश-पुस्‍तिका, उद्देशपत्रक"
protempore appointment,"अल्पावधीनियुक्ती, तात्पुरती नियुक्ती"
protocol,"1. राजशिष्‍टाचार 2. कराराचा मूळ, मसुदा"
prove,"1. सिद्ध करणे, सिद्ध होणे 2. शाबीत करणे 3. खातरजमा करून देणे"
provided,"तरतूद केलेला, उपबंधित, उपबंधित केलेला"
