ab initio,அடி முதலே
questionnaire,வினாப் பட்டியல்
quit,"நீங்கு, வெளியேறு, துற, விடு"
quorum,"குறைந்தபட்ச வரம்பு, கோரெண்"
quota,"பங்கு, ஒதுக்கீட்டுப் பங்கு"
quotation,1. விலைப் புள்ளி 2. மேற்கோள்
quote,1. எடுத்துக்காட்டு 2. எடுத்துச் சொல்
race,1. இனம் 2. ஒட்டப்பந்தயம்
racial discrimination,"இனவேறுபாடு, இனப் பாகுபாடு"
rack,நிலை அடுக்கம்
raid,1. திடீர் சோதனை 2. தீடீர்த் தாக்குதல்
railway,இருப்புப்பாதை
raise (pay),ஊதிய உயர்வு
random,"நோக்கின்றி, அங்கொன்றும் இங்கொன்றுமாய்"
random sampling,யதேச்சை மாதிரியாக்கல்
range,1. சரகம் 2. தொடர் 2. ஏற்ற இறக்க எல்லை 3. வேறுபாட்டெல்லை
rank,"1. படிநிலை, படிமுறை 2. தரம்"
rank and file,பணியாளர் திரள்
ranking,தரப்படுத்தல்
rapid action force (RAF),துரித செயல்பாட்டுப் படை
rare,"அரிய, அரிதான"
rash,"அளவுகடந்த, வேகமான, கண்மூடித்தனமான"
ratable value,விகிதப்படியான மதிப்பு
rate,வீதம்
rate contract,"விலைமதிப்புப்படியான ஒப்பந்தம், துண்டுவேலை ஒப்பந்தம், குறிப்பிட்ட தொகைக்கான ஒப்பந்தம்"
rate list,விலைப் பட்டியல்
ratification,"பின் ஏற்பு, ஏற்பளித்தல்"
rating,விலைமதிப்பிடல்
ratio,விகிதம்
ration,பங்கீடு
ration allowance,பங்கீட்டுப் படி
rational,பகுத்தறிவுள்ள
rationalization,பகுத்தறிதல்
raw material,மூலப் பொருள்
raw product,உற்பத்தி நிலையில் உள்ள பொருள்
re-employment,மறு வேலைவாய்ப்பு
re-entry,மறு நுழைவு
reaction,"எதிர்விளைவு, எதிர்வினை"
reading,"1. அளவு 2. படித்தல், வாசித்தல்"
readjust,மறுபடி சரி செய்
ready reckoner,"உடன் கணிப்புக்குதவும் சுவடி, கணிப்புச் சுவடி"
ready-made plan,முன்தயாரிப்புத் திட்டம்
real,"உண்மையான, இயல்பான"
real earning,உண்மையான வருவாய்
real estate,"வீடு, நில உடைமைகள்"
reality,"நடைமுறை நிலை, உண்மை நிலை"
realization,1. கைவரப் பெறுதல் 2. உணர்தல்
realize,1. கைவரப்பெறுதல் 2. உணர்
reappointment,மறு நியமனம்
reappropriation,மறு ஒதுக்கீடு
reason,காரணம்
reassessment,மறு மதிப்பீடு
rebate,"தள்ளுபடி, கழிவு"
recall,திருப்பி அழை
recede,1. பின்வாங்கு 2. மதிப்புக் குறை
receipt,"பற்றுச்சீட்டு, பெறுபொருள் வரவு"
receipt book,பற்றுச்சீட்டுப் புத்தகம்
receipts and disbursements,வரவுகளும் வழங்கல்களும்
receive,பெறு
receiver,"1. பெறுபவர் 2. அலைமாற்றி, (தொலைபேசி) செவிக்குழல் 3. (வழக்குறு) சொத்துப் பேணுநர்"
